fragment_length	frequency
80	8361
82	1722
83	1194
84	966
85	1033
86	937
87	823
88	1126
89	856
90	745
91	735
92	772
93	555
94	693
95	1441
96	643
97	690
98	572
99	511
100	520
101	622
102	626
103	556
104	453
105	479
106	578
107	979
108	459
109	544
110	426
111	476
112	447
113	427
114	452
115	487
116	876
117	1336
118	383
119	409
120	420
121	361
122	421
123	410
124	475
125	419
126	469
127	583
128	458
129	441
130	465
131	394
132	392
133	417
134	604
135	552
136	419
137	371
138	373
139	368
140	378
141	392
142	394
143	387
144	364
145	375
146	390
147	339
148	406
149	371
150	339
151	373
152	440
153	350
154	396
155	478
156	349
157	381
158	367
159	391
160	366
161	357
162	319
163	385
164	363
165	360
166	361
167	510
168	370
169	389
170	463
171	873
172	483
173	440
174	611
175	446
176	457
177	377
178	382
179	440
180	339
181	362
182	425
183	404
184	389
185	475
186	646
187	328
188	339
189	343
190	387
191	438
192	356
193	387
194	497
195	341
196	319
197	339
198	347
199	348
200	424
201	419
202	385
203	358
204	365
205	366
206	381
207	372
208	426
209	330
210	346
211	357
212	358
213	366
214	346
215	352
216	399
217	394
218	316
219	437
220	312
221	337
222	340
223	379
224	374
225	354
226	377
227	354
228	334
229	399
230	310
231	337
232	373
233	397
234	382
235	393
236	405
237	423
238	406
239	385
240	449
241	530
242	427
243	420
244	433
245	460
246	462
247	356
248	414
249	421
250	503
251	576
252	791
253	449
254	410
255	333
256	322
257	364
258	325
259	320
260	342
261	322
262	312
263	356
264	295
265	344
266	668
267	302
268	326
269	344
270	377
271	317
272	312
273	297
274	308
275	339
276	283
277	275
278	337
279	294
280	343
281	303
282	289
283	311
284	289
285	308
286	316
287	320
288	297
289	345
290	332
291	314
292	319
293	319
294	345
295	332
296	302
297	322
298	313
299	322
300	318
301	291
302	291
303	296
304	353
305	309
306	287
307	316
308	301
309	276
310	285
311	275
312	298
313	324
314	293
315	314
316	293
317	269
318	271
319	315
320	287
321	304
322	280
323	277
324	296
325	317
326	269
327	294
328	360
329	289
330	296
331	270
332	313
333	293
334	289
335	280
336	308
337	260
338	302
339	321
340	293
341	267
342	286
343	262
344	289
345	283
346	302
347	322
348	275
349	259
350	313
351	262
352	324
353	355
354	324
355	283
356	266
357	306
358	283
359	288
360	271
361	286
362	280
363	322
364	279
365	278
366	252
367	251
368	290
369	268
370	274
371	265
372	241
373	261
374	263
375	258
376	250
377	282
378	251
379	283
380	241
381	239
382	272
383	246
384	237
385	281
386	281
387	272
388	254
389	262
390	258
391	296
392	258
393	315
394	282
395	261
396	273
397	258
398	265
399	260
400	271
401	249
402	234
403	268
404	250
405	252
406	273
407	263
408	276
409	230
410	264
411	221
412	317
413	285
414	236
415	272
416	298
417	267
418	223
419	232
420	288
421	267
422	256
423	255
424	258
425	263
426	269
427	260
428	283
429	277
430	285
431	250
432	310
433	268
434	283
435	452
436	293
437	258
438	281
439	242
440	254
441	243
442	275
443	240
444	231
445	239
446	254
447	261
448	236
449	236
450	290
451	232
452	253
453	255
454	243
455	267
456	260
457	252
458	265
459	265
460	252
461	243
462	255
463	254
464	235
465	247
466	241
467	237
468	233
469	238
470	225
471	268
472	244
473	256
474	249
475	221
476	284
477	251
478	250
479	244
480	238
481	282
482	263
483	230
484	243
485	245
486	244
487	268
488	226
489	248
490	248
491	250
492	225
493	230
494	265
495	214
496	234
497	266
498	256
499	256
500	239
501	201
502	225
503	236
504	223
505	263
506	230
507	239
508	242
509	247
510	220
511	255
512	245
513	258
514	293
515	257
516	252
517	222
518	250
519	257
520	245
521	249
522	262
523	235
524	258
525	226
526	275
527	266
528	229
529	231
530	232
531	212
532	248
533	231
534	233
535	240
536	241
537	221
538	244
539	241
540	226
541	237
542	235
543	223
544	224
545	247
546	231
547	195
548	220
549	223
550	240
551	241
552	227
553	226
554	222
555	220
556	242
557	222
558	195
559	232
560	238
561	224
562	232
563	243
564	213
565	224
566	215
567	209
568	232
569	217
570	229
571	231
572	208
573	211
574	211
575	224
576	221
577	218
578	213
579	220
580	217
581	217
582	250
583	212
584	229
585	222
586	220
587	212
588	201
589	190
590	220
591	245
592	204
593	239
594	224
595	242
596	235
597	218
598	212
599	212
600	223
601	222
602	246
603	219
604	215
605	235
606	234
607	249
608	206
609	210
610	219
611	220
612	207
613	212
614	232
615	210
616	238
617	205
618	215
619	233
620	239
621	235
622	195
623	214
624	236
625	233
626	202
627	215
628	223
629	193
630	208
631	222
632	210
633	221
634	229
635	219
636	240
637	216
638	209
639	187
640	218
641	226
642	216
643	212
644	241
645	207
646	241
647	222
648	235
649	211
650	223
651	220
652	223
653	182
654	214
655	184
656	209
657	202
658	211
659	226
660	193
661	213
662	225
663	208
664	223
665	232
666	206
667	236
668	225
669	200
670	207
671	226
672	223
673	219
674	217
675	220
676	224
677	146
678	190
679	214
680	194
681	229
