fragment_length	frequency
80	17
82	7
83	5
84	5
85	2
86	1
87	1
88	2
89	2
90	4
91	5
92	5
93	2
94	3
95	2
96	1
97	1
99	3
100	1
101	3
102	3
103	2
104	1
106	2
107	6
108	2
109	2
110	6
111	3
112	1
115	1
116	1
117	4
118	1
119	1
120	2
121	1
123	2
124	2
125	1
127	5
129	3
131	1
133	1
134	2
135	1
138	2
141	1
142	2
143	1
144	1
145	2
146	3
147	2
148	2
149	1
152	1
155	2
156	1
158	1
159	2
160	1
162	1
163	2
164	1
165	1
167	1
168	2
169	1
170	1
171	5
172	1
174	1
176	1
178	2
179	7
180	1
182	1
183	2
185	2
186	3
187	1
190	1
191	1
193	1
194	2
197	2
198	2
199	1
200	1
201	1
202	2
204	3
205	2
206	1
207	1
208	3
209	3
211	1
212	1
214	1
217	1
219	5
222	1
223	2
224	2
230	2
231	1
233	1
234	2
235	3
236	1
237	1
239	1
240	1
244	1
245	1
247	1
249	2
250	1
251	1
252	2
253	1
254	2
256	2
257	1
260	1
261	1
262	3
263	2
264	1
266	2
267	1
269	3
270	1
271	1
273	1
274	1
277	2
278	2
286	2
287	1
288	1
289	2
290	2
293	2
294	1
295	1
296	1
302	2
305	2
306	2
307	1
308	2
310	1
312	2
314	3
316	1
317	2
320	1
322	2
323	1
325	1
326	1
327	1
328	1
329	1
330	2
331	1
332	1
333	4
335	1
337	3
338	1
339	3
341	1
345	1
346	1
347	1
349	1
350	3
351	2
352	3
354	1
355	2
356	1
358	1
360	1
361	2
363	4
364	1
367	1
368	1
370	1
372	1
374	3
375	1
377	2
378	1
379	1
380	1
381	1
382	1
385	1
388	1
389	1
391	1
392	2
394	1
395	2
398	2
399	1
406	1
413	1
415	1
416	1
419	1
423	1
424	1
427	1
430	3
433	1
435	5
436	1
437	1
439	1
443	1
447	1
458	1
459	1
464	1
465	1
466	1
467	2
469	1
471	1
472	2
473	1
476	1
477	1
481	2
482	2
483	2
489	1
491	1
492	2
494	1
497	2
499	2
503	1
505	1
520	1
521	2
522	1
527	1
530	1
534	3
538	2
540	1
541	1
545	1
548	1
551	1
552	1
558	1
563	1
564	1
566	2
569	1
572	1
573	2
574	1
576	2
581	3
582	1
583	1
587	1
588	2
590	1
594	2
599	1
606	1
610	1
613	1
614	1
615	1
618	1
621	1
625	1
630	2
632	1
633	3
638	2
639	1
641	1
649	1
655	2
656	1
657	1
659	1
660	1
664	1
668	1
669	1
670	1
674	2
679	1
680	1
683	2
687	1
688	1
689	1
690	1
691	2
695	1
696	2
704	1
707	1
708	2
712	1
716	1
718	1
722	1
725	1
726	1
727	1
728	1
729	1
732	1
737	1
740	2
752	2
753	1
760	2
761	1
765	2
766	1
767	2
769	1
775	1
777	1
778	1
779	1
788	1
789	2
790	1
792	1
799	1
801	1
802	1
804	1
808	1
810	2
811	1
812	1
813	3
814	2
819	1
820	1
825	1
832	2
834	1
836	1
838	2
843	3
849	1
852	1
856	1
859	1
860	1
863	1
868	1
875	1
876	1
878	1
883	1
886	2
887	1
890	1
894	1
895	1
897	1
900	1
902	1
903	1
904	1
910	2
911	1
913	2
914	1
918	1
919	2
921	1
922	1
925	1
928	1
929	1
930	2
931	1
933	1
934	1
936	1
940	1
941	1
944	1
946	2
948	1
953	1
954	1
955	1
961	1
962	1
970	1
971	1
975	1
976	2
981	2
983	1
986	1
987	1
993	2
996	1
999	1
1003	1
1008	1
1011	2
1012	2
1013	1
1015	1
1018	1
1019	1
1022	1
1024	1
1026	2
1028	1
1030	1
1031	1
1033	1
1046	1
1051	1
1054	1
1057	1
1058	1
1064	1
1067	1
1077	1
1079	1
1080	1
1081	2
1087	1
1090	1
1091	1
1092	1
1097	2
1105	1
1106	1
1109	3
1114	1
1117	1
1120	1
1124	1
1131	1
1132	1
1133	2
1134	1
1138	1
1139	1
1152	1
1153	1
1154	1
1157	1
1159	1
1160	1
1176	1
1178	1
1179	1
1185	1
1187	1
1190	1
1193	1
1195	1
1199	1
1204	1
1212	1
1223	1
1234	1
1237	1
1241	1
1243	1
1244	2
1248	1
1250	2
1252	1
1255	1
1260	1
1264	1
1265	1
1266	1
1272	1
1280	1
1288	1
1296	1
1298	1
1305	1
1307	2
1308	1
1312	2
1314	1
1315	1
1321	1
1326	1
1327	1
1329	2
1334	1
1335	2
1337	1
1339	1
1343	3
1344	1
1348	1
1355	1
1356	1
1357	1
1361	1
1365	1
1377	2
1382	1
1383	1
1384	1
1385	1
1396	1
1398	1
1400	1
1401	1
1402	1
1403	1
1408	1
1410	1
1414	1
1417	1
1421	1
1422	1
1426	1
1427	1
1428	1
1436	1
1439	1
1441	1
1448	1
1451	2
1455	1
1458	1
1462	1
1466	1
1471	1
1472	2
1474	1
1476	1
1484	1
1489	1
1490	2
1491	1
1495	1
1497	1
1499	1
1503	1
1504	1
1505	1
1509	1
1513	1
1514	1
1521	1
1522	1
1529	1
1537	2
1538	1
1545	1
1547	1
1548	1
1553	1
1555	1
1557	2
1558	1
1569	1
1574	1
1575	1
1578	1
1582	1
1583	1
1584	1
1587	1
