fragment_length	frequency
82	297
83	159
84	247
85	166
86	258
87	197
88	222
89	310
90	194
91	187
92	221
93	175
94	147
95	164
96	189
97	212
98	174
99	124
100	131
101	144
102	116
103	136
104	143
105	107
106	143
107	130
108	140
109	131
110	125
111	117
112	121
113	110
114	103
115	120
116	86
117	114
118	114
119	152
120	119
121	149
122	141
123	149
124	111
125	109
126	113
127	130
128	147
129	101
130	123
131	126
132	104
133	105
134	112
135	121
136	116
137	115
138	117
139	127
140	100
141	112
142	98
143	122
144	104
145	91
146	89
147	107
148	115
149	100
150	120
151	120
152	104
153	107
154	106
155	116
156	107
157	94
158	130
159	103
160	109
161	93
162	114
163	136
164	101
165	104
166	110
167	99
168	104
169	104
170	113
171	115
172	99
173	152
174	95
175	113
176	98
177	108
178	226
179	95
180	113
181	106
182	156
183	107
184	87
185	113
186	96
187	105
188	91
189	96
190	100
191	90
192	86
193	118
194	88
195	105
196	101
197	115
198	91
199	95
200	103
201	108
202	116
203	95
204	93
205	92
206	91
207	156
208	83
209	110
210	96
211	98
212	106
213	170
214	110
215	120
216	214
217	97
218	90
219	90
220	96
221	92
222	144
223	98
224	94
225	82
226	93
227	96
228	92
229	100
230	100
231	101
232	93
233	94
234	95
235	104
236	113
237	113
238	113
239	114
240	122
241	105
242	101
243	127
244	82
245	102
246	102
247	95
248	102
249	93
250	107
251	106
252	90
253	111
254	106
255	87
256	90
257	91
258	111
259	94
260	107
261	107
262	82
263	85
264	96
265	101
266	106
267	82
268	103
269	102
270	99
271	88
272	96
273	98
274	113
275	91
276	73
277	93
278	95
279	99
280	92
281	86
282	93
283	103
284	86
285	91
286	83
287	93
288	106
289	88
290	92
291	95
292	96
293	86
294	86
295	91
296	93
297	93
298	108
299	99
300	76
301	91
302	101
303	82
304	81
305	98
306	120
307	88
308	95
309	110
310	91
311	87
312	100
313	99
314	105
315	119
316	86
317	77
318	98
319	90
320	87
321	93
322	90
323	114
324	99
325	86
326	112
327	109
328	97
329	107
330	107
331	97
332	119
333	100
334	80
335	97
336	99
337	90
338	113
339	87
340	94
341	104
342	96
343	100
344	91
345	107
346	107
347	99
348	115
349	96
350	100
351	95
352	98
353	102
354	111
355	96
356	89
357	94
358	102
359	112
360	111
361	89
362	104
363	86
364	84
365	91
366	159
367	100
368	90
369	101
370	84
371	86
372	102
373	98
374	82
375	93
376	89
377	96
378	87
379	103
380	85
381	86
382	111
383	118
384	88
385	87
386	105
387	76
388	84
389	115
390	90
391	94
392	86
393	92
394	90
395	104
396	103
397	99
398	99
399	96
400	106
401	88
402	121
403	99
404	99
405	100
406	88
407	106
408	84
409	108
410	112
411	88
412	101
413	110
414	115
415	92
416	78
417	96
418	106
419	80
420	91
421	92
422	94
423	88
424	95
425	71
426	88
427	73
428	89
429	101
430	102
431	78
432	92
433	86
434	78
435	89
436	79
437	92
438	70
439	81
440	85
441	86
442	70
443	77
444	88
445	99
446	84
447	82
448	90
449	76
450	85
451	93
452	83
453	99
454	77
455	67
456	82
457	79
458	71
459	90
460	78
461	101
462	85
463	116
464	59
465	100
466	72
467	93
468	80
469	77
470	73
471	61
472	67
473	79
474	121
475	90
476	85
477	86
478	109
479	83
480	77
481	95
482	82
483	73
484	79
485	78
486	73
487	71
488	79
489	87
490	97
491	109
492	85
493	84
494	87
495	105
496	111
497	79
498	72
499	90
500	76
501	81
502	80
503	78
504	106
505	72
506	91
507	124
508	68
509	82
510	76
511	85
512	93
513	81
514	77
515	76
516	74
517	93
518	78
519	100
520	87
521	83
