fragment_length	frequency
82	72
83	33
84	43
85	27
86	50
87	42
88	43
89	54
90	24
91	24
92	54
93	39
94	33
95	44
96	28
97	52
98	35
99	30
100	26
101	29
102	22
103	23
104	23
105	23
106	19
107	25
108	25
109	19
110	22
111	21
112	26
113	17
114	16
115	20
116	18
117	21
118	18
119	26
120	27
121	23
122	26
123	25
124	19
125	16
126	22
127	29
128	31
129	12
130	27
131	29
132	16
133	27
134	25
135	22
136	19
137	23
138	28
139	18
140	14
141	31
142	13
143	21
144	26
145	11
146	16
147	22
148	28
149	13
150	23
151	23
152	22
153	21
154	21
155	24
156	21
157	25
158	21
159	27
160	21
161	17
162	20
163	21
164	19
165	14
166	23
167	11
168	17
169	12
170	24
171	27
172	18
173	35
174	21
175	21
176	14
177	26
178	36
179	19
180	25
181	17
182	34
183	24
184	17
185	29
186	19
187	24
188	17
189	23
190	25
191	19
192	22
193	21
194	8
195	13
196	19
197	29
198	19
199	14
200	16
201	15
202	29
203	22
204	9
205	16
206	21
207	35
208	14
209	21
210	28
211	20
212	24
213	36
214	24
215	29
216	50
217	16
218	18
219	19
220	22
221	15
222	25
223	13
224	24
225	20
226	23
227	25
228	19
229	19
230	10
231	15
232	20
233	18
234	19
235	18
236	26
237	25
238	28
239	25
240	14
241	23
242	12
243	33
244	16
245	17
246	20
247	18
248	13
249	22
250	19
251	15
252	17
253	19
254	24
255	17
256	16
257	19
258	20
259	18
260	20
261	16
262	14
263	20
264	25
265	24
266	21
267	14
268	23
269	26
270	21
271	18
272	20
273	15
274	14
275	13
276	9
277	16
278	18
279	16
280	17
281	18
282	21
283	22
284	15
285	17
286	13
287	18
288	23
289	20
290	14
291	22
292	21
293	13
294	18
295	14
296	18
297	15
298	23
299	11
300	15
301	24
302	20
303	14
304	14
305	25
306	29
307	17
308	17
309	20
310	13
311	14
312	18
313	16
314	20
315	21
316	15
317	21
318	21
319	17
320	20
321	15
322	16
323	26
324	19
325	17
326	25
327	21
328	19
329	17
330	21
331	18
332	30
333	22
334	18
335	15
336	14
337	17
338	19
339	13
340	19
341	19
342	22
343	17
344	13
345	24
346	26
347	17
348	20
349	15
350	24
351	9
352	13
353	16
354	18
355	15
356	18
357	14
358	21
359	20
360	21
361	22
362	23
363	21
364	16
365	14
366	40
367	22
368	20
369	18
370	19
371	28
372	20
373	22
374	14
375	17
376	17
377	15
378	15
379	19
380	16
381	12
382	21
383	16
384	18
385	16
386	23
387	15
388	20
389	24
390	14
391	10
392	16
393	21
394	21
395	24
396	13
397	18
398	15
399	20
400	15
401	16
402	18
403	17
404	28
405	25
406	17
407	20
408	20
409	21
410	23
411	15
412	15
413	28
414	25
415	15
416	17
417	15
418	26
419	15
420	18
421	14
422	16
423	17
424	21
425	20
426	15
427	18
428	17
429	19
430	12
431	16
432	20
433	16
434	18
435	20
436	11
437	23
438	14
439	17
440	9
441	12
442	17
443	19
444	20
445	20
446	16
447	23
448	15
449	14
450	8
451	18
452	16
453	21
454	16
455	14
456	13
457	5
458	6
459	20
460	16
461	13
462	25
463	19
464	6
465	24
466	15
467	19
468	17
469	16
470	15
471	16
472	17
473	12
474	24
475	17
476	16
477	22
478	21
479	20
480	15
481	18
482	24
483	15
484	19
485	15
486	15
487	16
488	20
489	20
490	19
491	14
492	12
493	16
494	23
495	18
496	23
497	21
498	13
499	17
500	15
501	18
502	11
503	12
504	23
505	17
506	18
507	31
508	12
509	14
510	14
511	14
512	20
513	16
514	15
515	11
516	9
517	19
518	14
519	13
520	12
521	8
522	16
523	21
524	18
525	11
526	13
527	14
528	13
529	20
530	17
531	17
532	22
533	23
534	17
535	19
536	20
537	10
538	19
539	20
540	20
541	14
542	16
543	18
544	14
545	13
546	12
547	19
548	17
549	12
550	23
551	16
552	10
553	17
554	20
555	14
556	16
557	20
558	15
559	13
560	19
561	13
562	11
563	15
564	16
565	17
566	19
567	22
568	18
569	15
570	18
571	17
572	12
573	13
574	18
575	23
576	23
577	26
578	11
579	18
580	15
581	11
582	18
583	18
584	18
585	13
586	16
587	13
588	12
589	20
590	19
591	9
592	15
593	11
594	13
595	7
596	14
597	10
598	19
