taxa	H	E
RMB_15211_Cyrtodactylus_philippinicus_Luzon.trimmed	0.04328074	0.01354632	
CDS_156_Gekko_ernstkelleri_Panay.trimmed	5e-08	0.00244547	
RMB_5907_Cyrtodactylus_philippinicus_BabuyanClaro.trimmed	0.02880427	0.01054312	
RMB_13579_Hemidactylus_frenatus_Luzon.trimmed	0.01325977	0.00067383	
CDS_1768_Cyrtodactylus_annulatus_Cebu.trimmed	0.01	0.001	
CDS_3868_Gekko_mindorensis_Lubang.trimmed	0.01289026	0.00260955	
PNM.CMNH_1293_Cyrtodactylus_annulatus_Mindanao.trimmed	0.0263946	0.01151411	
CDS_3047_Cyrtodactylus_sumuroi_Samar.trimmed	0.03494826	0.01064832	
RMB_7722_Cyrtodactylus_annulatus_Palawan.trimmed	0.01232516	0.01845514	
RMB_6319_Pseudogekko_smaragdinus_Polillo.trimmed	0.01689758	0.00185654	
CDS_1231_Gekko_mindorensis_Mindoro.trimmed	0.02884586	0.00811252	
PNM.CMNH_1292_Cyrtodactylus_annulatus_Mindanao.trimmed	0.02361433	0.01006748	
RMB_11229_Cyrtodactylus_annulatus_Mindanao.trimmed	0.01951438	0.00405364	
RMB_14956_Cyrtodactylus_philippinicus_Luzon.trimmed	0.01894113	0.00602882	
RMB_12578_Gehyra_mutilata_Luzon.trimmed	0.01882026	0.00419138	
RMB_13588_Gekko_carusadensis_Luzon.trimmed	0.01492919	0.00206219	
RMB_14249_Cyrtodactylus_philippinicus_Luzon.trimmed	0.0198816	0.0163472	
RMB_15052_Cyrtodactylus_philippinicus_Luzon.trimmed	0.01715343	0.01064551	
CDS_161_Gekko_ernstkelleri_Panay.trimmed	0.01277835	0.00172808	
PNM.CMNH_1289_Cyrtodactylus_annulatus_Mindanao.trimmed	0.02269706	0.01060863	
ELR_1009_Gekko_mindorensis_Mindoro.trimmed	0.01805347	0.00450658	
ELR_911_Gekko_mindorensis_Mindoro.trimmed	0.020918	0.00412064	
PNM.CMNH_1298_Cyrtodactylus_annulatus_Mindanao.trimmed	0.02144254	0.01224237	
CDS_3752_Cyrtodactylus_philippinicus_Lubang.trimmed	0.01816834	0.00668215	
CWL_88_Cyrtodactylus_annulatus_Cebu.trimmed	0.01502333	0.00625972	
CDS_5727_Cyrtodactylus_philippinicus_Luzon.trimmed	0.01424125	0.00259159	
RMB_8417_Cyrtodactylus_mamanwa_Dinagat.trimmed	0.01514594	0.00858006	
RMB_13551_Hemidactylus_frenatus_Luzon.trimmed	0.01935128	0.0017546	
RMB_13553_Hemidactylus_frenatus_Luzon.trimmed	0.01691425	0.00181804	
CDS_3869_Cyrtodactylus_philippinicus_Lubang.trimmed	0.01666839	0.00762134	
RMB_13590_Gekko_carusadensis_Luzon.trimmed	0.0086387	0.00145557	
RMB_5729_Gekko_sp.b_CamiguinNorte.trimmed	0.01199625	0.00266857	
CDS_278_Gekko_mindorensis_Negros.trimmed	0.0114346	0.00188931	
RMB_6372_Gekko_sp.a_Dalupiri.trimmed	0.012041	0.00288779	
RMB_13652_Cyrtodactylus_philippinicus_Luzon.trimmed	0.01215375	0.0062599	
RMB_13367_Cyrtodactylus_philippinicus_Luzon.trimmed	0.01294958	0.00635101	
RMB_9223_Cyrtodactylus_jambangan_Mindanao.trimmed	0.01561213	0.00294828	
RMB_11302_Cyrtodactylus_annulatus_Mindanao.trimmed	0.01289519	0.00381028	
RMB_7924_Gekko_monarchus_Palawan.trimmed	0.01359758	0.00303369	
RMB_7725_Cyrtodactylus_annulatus_Palawan.trimmed	0.01548589	0.00382006	
RMB_11591_Cyrtodactylus_jambangan_Mindanao.trimmed	0.0174054	0.00411425	
RMB_13713_Cyrtodactylus_philippinicus_Luzon.trimmed	0.01153985	0.00504152	
CDS_754_Gekko_mindorensis_Masbate.trimmed	0.01443	0.00203473	
SP_6891_Cyrtodactylus_baluensis_Kinabalu.trimmed	0.01056306	0.00396508	
RMB_6318_Pseudogekko_smaragdinus_Polillo.trimmed	0.00812507	0.00101697	
RMB_13719_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00979398	0.00410238	
CDS_4342_Cyrtodactylus_philippinicus_Negros.trimmed	0.00847982	0.00096097	
RMB_13662_Gekko_mindorensis_Luzon.trimmed	0.01232402	0.00248808	
RMB_5906_Cyrtodactylus_philippinicus_BabuyanClaro.trimmed	0.00889647	0.00439931	
CDSGS_41_Gekko_mindorensis_Negros.trimmed	0.00907165	0.00146045	
RMB_11714_Cyrtodactylus_annulatus_Mindanao.trimmed	0.0117551	0.00292781	
RMB_9749_Cyrtodactylus_philippinicus_Luzon.trimmed	0.01060613	0.00421864	
CDS_50_Gekko_gigante_NorthGigante.trimmed	0.01133127	0.00160465	
RMB_7923_Gekko_monarchus_Palawan.trimmed	0.00993671	0.00160426	
RMB_14180_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00886347	0.00379648	
RMB_8762_Cyrtodactylus_philippinicus_Tablas.trimmed	0.00794495	0.00124808	
RMB_6479_Gekko_mindorensis_Panay.trimmed	0.00887214	0.00146719	
NOSERIES_6433_Ptychozoon_kuhli_PulauTioman.trimmed	0.00917735	0.00106456	
RMB_13571_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00938277	0.00364916	
RMB_8754_Gekko_romblon_Tablas.trimmed	0.00927189	0.00125401	
RMB_7716_Cyrtodactylus_annulatus_Palawan.trimmed	0.00889709	0.00264626	
RMB_8201_Cyrtodactylus_annulatus_CamiguinSur.trimmed	0.00865527	0.00204095	
RMB_9586_Gekko_porosus_Batan.trimmed	0.0095436	0.00171257	
ELR_1007_Gekko_mindorensis_Mindoro.trimmed	0.00818215	0.00115377	
RMB_9693_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00863116	0.00267784	
RMB_7720_Cyrtodactylus_annulatus_Palawan.trimmed	0.00964912	0.00228892	
CDS_4658_Cyrtodactylus_annulatus_Bohol.trimmed	0.00870981	0.00244695	
RMB_7937_Gekko_monarchus_Palawan.trimmed	0.00733891	0.00093957	
RMB_6369_Gekko_sp.a_Dalupiri.trimmed	0.00753034	0.0016103	
RMB_13966_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00895604	0.0033179	
CDS_1459_Gekko_mindorensis_MaestreDeCampo.trimmed	0.01172828	0.00122414	
RMB_5967_Luperosaurus_macgregori_BabuyanClaro.trimmed	0.00733494	0.00065235	
CWL_90_Cyrtodactylus_annulatus_Cebu.trimmed	0.00584427	0.00154046	
RMB_13664_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00906225	0.00308992	
RMB_6060_Gekko_rossi_Calayan.trimmed	0.00451268	0.00056838	
CDS_31_Gekko_gigante_SouthGigante.trimmed	0.00563027	0.00066481	
ELR_1008_Gekko_mindorensis_Mindoro.trimmed	0.0053335	0.00060306	
RMB_11746_Cyrtodactylus_jambangan_Mindanao.trimmed	0.01145532	0.00273792	
RMB_13510_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00667023	0.00230429	
RMB_6317_Pseudogekko_smaragdinus_Polillo.trimmed	0.00467093	0.00055969	
CDS_792_Gekko_romblon_Romblon.trimmed	0.00603096	0.00044372	
RMB_5968_Gekko_crombota_BabuyanClaro.trimmed	0.00501822	0.00078307	
RMB_12835_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00782842	0.00204438	
RMB_7724_Cyrtodactylus_annulatus_Palawan.trimmed	0.00774238	0.00148559	
CDS_5627_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00794113	0.00266852	
SP_6892_Cyrtodactylus_baluensis_Kinabalu.trimmed	0.00861459	0.00195008	
RMB_9531_Lepidodactylus_balioburius_Batan.trimmed	0.00401439	0.00043934	
NOSERIES_4679_Ptychozoon_kuhli_PulauTioman.trimmed	0.0074317	0.00075791	
RMB_15212_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00752973	0.00221906	
CDS_155_Gekko_ernstkelleri_Panay.trimmed	0.00546402	0.00075535	
LSUHC_7289_Gekko_monarchus_PulauAur.trimmed	0.00564807	0.00085918	
RMB_12838_Cyrtodactylus_philippinicus_Luzon.trimmed	0.00846747	0.00272681	
RMB_6058_Gekko_rossi_Calayan.trimmed	0.00417829	0.00057207	
