
taxa	total	dpt.me	dpt.sd	d>5.tot	d>5.me	d>5.sd	badpairs
CDSGS_39_Gekko_mindorensis_Negros.trimmed	30533	17.104	61.661	18419	27.014	77.808	0
CDSGS_40_Gekko_mindorensis_Negros.trimmed	52588	41.086	164.548	24450	86.499	233.197	0
CDSGS_41_Gekko_mindorensis_Negros.trimmed	13385	3.285	5.143	1877	9.92	11.311	0
CDS_100_Gekko_mindorensis_CamiguinSur.trimmed	364789	37.222	575.925	112331	116.461	1033.474	0
CDS_101_Gekko_mindorensis_CamiguinSur.trimmed	37148	5.703	65.779	10638	14.792	122.431	0
CDS_102_Gekko_mindorensis_CamiguinSur.trimmed	209489	25.346	549.17	50329	99.627	1117.166	0
CDS_1112_Cyrtodactylus_philippinicus_Polillo.trimmed	88231	10.669	25.31	25945	31.969	39.148	0
CDS_1230_Gekko_mindorensis_Mindoro.trimmed	45615	28.159	90.38	22721	54.862	122.382	0
CDS_1231_Gekko_mindorensis_Mindoro.trimmed	4306	1.988	4.429	95	13.768	26.59	0
CDS_1442_Cyrtodactylus_philippinicus_Sibuyan.trimmed	145442	18.285	57.849	35917	68.697	100.86	0
CDS_1459_Gekko_mindorensis_MaestreDeCampo.trimmed	20511	3.331	14.947	3239	9.795	36.827	0
CDS_1461_Gekko_mindorensis_MaestreDeCampo.trimmed	25426	8.395	19.302	12009	15.085	26.492	0
CDS_1462_Gekko_mindorensis_MaestreDeCampo.trimmed	38493	19.636	61.574	20763	34.889	80.762	0
CDS_1463_Gekko_mindorensis_MaestreDeCampo.trimmed	35421	22.438	61.849	20257	37.833	78.321	0
CDS_1511_Cyrtodactylus_philippinicus_Panay.trimmed	26832	3.853	12.253	5435	10.161	26.159	0
CDS_1550_Cyrtodactylus_philippinicus_Panay.trimmed	69690	11.96	59.512	23880	31.376	98.791	0
CDS_155_Gekko_ernstkelleri_Panay.trimmed	25401	3.819	7.98	5351	9.909	15.765	0
CDS_156_Gekko_ernstkelleri_Panay.trimmed	1009	1.676	1.086	12	6.833	0.986	0
CDS_159_Gekko_ernstkelleri_Panay.trimmed	68785	8.435	30.035	20391	24.205	51.831	0
CDS_161_Gekko_ernstkelleri_Panay.trimmed	6102	2.183	2.177	243	8.782	6.6	0
CDS_173_Cyrtodactylus_philippinicus_Panay.trimmed	262115	24.475	117.412	64025	94.401	223.523	0
CDS_1768_Cyrtodactylus_annulatus_Cebu.trimmed	1996	1.181	0.485	0	0.0	0.0	0
CDS_212_Gekko_ernstkelleri_Panay.trimmed	29794	5.578	11.095	9760	12.588	17.291	0
CDS_277_Gekko_mindorensis_Negros.trimmed	26753	10.136	34.389	13911	17.386	46.509	0
