taxon	locus	pi1	pi2
caluya-camiguin_sur	locus1	0.0	0.0
lubang-mindoro_n	locus1	0.0	0.0
maestre_de_campo-mindoro_s	locus1	0.0	0.0
masbate-panay_ne	locus1	0.0	0.0
negros-panay_sw	locus1	0.0	0.0
caluya-camiguin_sur	locus2	0.0	0.0
lubang-mindoro_n	locus2	0.0	0.0
maestre_de_campo-mindoro_s	locus2	0.0	0.0
masbate-panay_ne	locus2	0.0	0.0
negros-panay_sw	locus2	0.0	0.0
caluya-camiguin_sur	locus3	0.0	0.0
lubang-mindoro_n	locus3	0.0	0.0
maestre_de_campo-mindoro_s	locus3	0.0	0.0
masbate-panay_ne	locus3	0.0	0.0
negros-panay_sw	locus3	0.0	0.0
caluya-camiguin_sur	locus4	0.0	0.0
lubang-mindoro_n	locus4	0.0	0.0
maestre_de_campo-mindoro_s	locus4	0.0	0.0
masbate-panay_ne	locus4	0.0	0.0
negros-panay_sw	locus4	0.0	0.0
caluya-camiguin_sur	locus5	0.0	0.0
lubang-mindoro_n	locus5	0.0	0.0
maestre_de_campo-mindoro_s	locus5	0.0	0.0
masbate-panay_ne	locus5	0.0	0.0
negros-panay_sw	locus5	0.0	0.00732600732601
caluya-camiguin_sur	locus6	0.0	0.0
lubang-mindoro_n	locus6	0.0	0.0
maestre_de_campo-mindoro_s	locus6	0.0	0.0
masbate-panay_ne	locus6	0.0	0.0
negros-panay_sw	locus6	0.0	0.0
caluya-camiguin_sur	locus7	0.0	0.0
lubang-mindoro_n	locus7	0.0	0.0
maestre_de_campo-mindoro_s	locus7	0.0	0.0
masbate-panay_ne	locus7	0.0	0.0
negros-panay_sw	locus7	0.0	0.0
caluya-camiguin_sur	locus8	0.0	0.0
lubang-mindoro_n	locus8	0.0	0.0
maestre_de_campo-mindoro_s	locus8	0.0	0.0
masbate-panay_ne	locus8	0.0	0.0
negros-panay_sw	locus8	0.0	0.0
caluya-camiguin_sur	locus9	0.0	0.0
lubang-mindoro_n	locus9	0.0	0.0
maestre_de_campo-mindoro_s	locus9	0.0	0.0
masbate-panay_ne	locus9	0.0	0.0
negros-panay_sw	locus9	0.0	0.0
caluya-camiguin_sur	locus10	0.0	0.0
lubang-mindoro_n	locus10	0.0	0.0
maestre_de_campo-mindoro_s	locus10	0.0	0.0
masbate-panay_ne	locus10	0.0	0.0
negros-panay_sw	locus10	0.0	0.0
caluya-camiguin_sur	locus11	0.0	0.0
lubang-mindoro_n	locus11	0.0	0.0
maestre_de_campo-mindoro_s	locus11	0.0	0.0
masbate-panay_ne	locus11	0.0	0.0
negros-panay_sw	locus11	0.0	0.0
caluya-camiguin_sur	locus12	0.0	0.0
lubang-mindoro_n	locus12	0.0	0.0
maestre_de_campo-mindoro_s	locus12	0.0	0.0
masbate-panay_ne	locus12	0.0	0.0
negros-panay_sw	locus12	0.0	0.0
caluya-camiguin_sur	locus13	0.0	0.0
lubang-mindoro_n	locus13	0.0	0.0
maestre_de_campo-mindoro_s	locus13	0.0	0.0
masbate-panay_ne	locus13	0.0	0.0
negros-panay_sw	locus13	0.0	0.0
caluya-camiguin_sur	locus14	0.0	0.0
lubang-mindoro_n	locus14	0.0	0.0
maestre_de_campo-mindoro_s	locus14	0.0	0.0
masbate-panay_ne	locus14	0.0	0.0
negros-panay_sw	locus14	0.0	0.0
caluya-camiguin_sur	locus15	0.0	0.0
lubang-mindoro_n	locus15	0.0	0.0
maestre_de_campo-mindoro_s	locus15	0.0	0.0
masbate-panay_ne	locus15	0.0	0.0
negros-panay_sw	locus15	0.00568181818182	0.0
caluya-camiguin_sur	locus16	0.0	0.0
lubang-mindoro_n	locus16	0.0	0.0
maestre_de_campo-mindoro_s	locus16	0.0	0.0
masbate-panay_ne	locus16	0.0	0.0
