divergence_model	estimated_prob	glm_adjusted_prob	div_model_with_conditional_age_estimates
0,0,0,0,0	0.3366	nan	0:2.00032587164[&age_median=2.00032587164,age_mean=2.01946667512,age_n=3366,age_range={0.00115813692,5.10531555723},age_hpdi_95={0.00115813692,3.97511280241},age_qi_95={0.0761443042163,4.18078924608}]
0,1,1,0,0	0.0328	nan	0:1.92868759214[&age_median=1.92868759214,age_mean=2.15265424956,age_n=328,age_range={0.0089008248,6.00111834358},age_hpdi_95={0.0089008248,5.03168253182},age_qi_95={0.0525015118443,5.31034046386}],1:2.49428612136[&age_median=2.49428612136,age_mean=2.83421884739,age_n=328,age_range={0.00106173614,8.32226539454},age_hpdi_95={0.00106173614,6.37659898302},age_qi_95={0.127115658193,7.18440716913}]
0,0,1,0,1	0.0315	nan	0:2.1043489466[&age_median=2.1043489466,age_mean=2.25774150743,age_n=315,age_range={0.01933431638,6.1197404895},age_hpdi_95={0.01933431638,4.77758242375},age_qi_95={0.125919619991,5.14177484385}],1:2.65741403973[&age_median=2.65741403973,age_mean=2.89424321412,age_n=315,age_range={0.03203079847,8.12406061826},age_hpdi_95={0.10376998668,6.75813697092},age_qi_95={0.173175225557,7.15578853341}]
0,1,0,0,1	0.0314	nan	0:2.00371376324[&age_median=2.00371376324,age_mean=2.24340247729,age_n=314,age_range={0.00789452972,6.11510159412},age_hpdi_95={0.00789452972,5.00309729766},age_qi_95={0.135991762565,5.29742209851}],1:2.81362769893[&age_median=2.81362769893,age_mean=3.0367074512,age_n=314,age_range={0.00367079858,8.96787329934},age_hpdi_95={0.00367079858,6.66712250902},age_qi_95={0.0972258717565,6.99225282485}]
0,1,1,1,0	0.0313	nan	0:2.74941987358[&age_median=2.74941987358,age_mean=2.93840489618,age_n=313,age_range={0.01381878482,8.33804616407},age_hpdi_95={0.01381878482,6.79801945051},age_qi_95={0.21655690405,7.21070839679}],1:2.1130497064[&age_median=2.1130497064,age_mean=2.2499179014,age_n=313,age_range={0.02564349488,6.76556154688},age_hpdi_95={0.02564349488,4.72175155079},age_qi_95={0.052069668094,5.14913506721}]
0,1,0,1,1	0.0311	nan	0:2.52722931475[&age_median=2.52722931475,age_mean=2.81872417329,age_n=311,age_range={0.00807966783,8.27566112356},age_hpdi_95={0.00807966783,6.50496214112},age_qi_95={0.153364256275,6.94396636895}],1:2.00380045203[&age_median=2.00380045203,age_mean=2.21898790119,age_n=311,age_range={0.00163135202,5.8989122954},age_hpdi_95={0.00163135202,5.16723831043},age_qi_95={0.0648161243525,5.42755195179}]
0,0,0,1,1	0.0311	nan	0:1.87912562715[&age_median=1.87912562715,age_mean=2.11356628408,age_n=311,age_range={0.00497685905,6.79301194946},age_hpdi_95={0.00497685905,4.86643319198},age_qi_95={0.07505371048,5.19029763465}],1:2.30454915902[&age_median=2.30454915902,age_mean=2.75425363419,age_n=311,age_range={0.0005235302,8.58651080828},age_hpdi_95={0.05492271327,6.77915508702},age_qi_95={0.0777003824675,7.3360512061}]
0,0,1,1,1	0.0301	nan	0:2.57223189658[&age_median=2.57223189658,age_mean=2.81944253414,age_n=301,age_range={0.01864551174,8.08857142983},age_hpdi_95={0.01864551174,6.40688767287},age_qi_95={0.083680084825,7.01955751006}],1:1.94452388614[&age_median=1.94452388614,age_mean=2.16174215524,age_n=301,age_range={0.012559495,6.08379772381},age_hpdi_95={0.012559495,4.95591101991},age_qi_95={0.16805905679,5.26550736613}]
0,1,1,0,1	0.0295	nan	0:2.51483777865[&age_median=2.51483777865,age_mean=2.72408912352,age_n=295,age_range={0.00295279592,8.42228620245},age_hpdi_95={0.00295279592,6.1712565704},age_qi_95={0.139058916974,6.69761166482}],1:1.89265805226[&age_median=1.89265805226,age_mean=2.24061154229,age_n=295,age_range={0.06819883211,6.34791073058},age_hpdi_95={0.06819883211,5.09708698125},age_qi_95={0.133703018241,5.39587682286}]
0,0,1,1,0	0.0289	nan	0:2.12756352133[&age_median=2.12756352133,age_mean=2.35960509139,age_n=289,age_range={0.02148312582,6.1943254117},age_hpdi_95={0.02148312582,5.24081884707},age_qi_95={0.154141184048,5.57404739065}],1:2.32559112005[&age_median=2.32559112005,age_mean=2.76246314741,age_n=289,age_range={0.00054886047,8.78044859544},age_hpdi_95={0.00054886047,6.42435286554},age_qi_95={0.109260876578,7.03193375505}]
