catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	extract	date	source
KU	322291	RMB	12585	Hemidactylus	frenatus	Philippines	Luzon	False	2009-06-07	ku_gekkonid_tissues.txt
KU	323164	RMB	11778	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2009-05-20	ku_gekkonid_tissues.txt
KU	323165	RMB	11779	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2009-05-19	ku_gekkonid_tissues.txt
KU	324378	CDS	4384	Cyrtodactylus	philippinicus	Philippines	Negros	False	2009-07-23	ku_gekkonid_tissues.txt
KU	302711	CDS	1515	Gekko	gecko	Philippines	Panay	False	2001-11-24	ku_gekkonid_tissues.txt
KU	302710	CDS	1514	Gekko	gecko	Philippines	Panay	False	2001-11-24	ku_gekkonid_tissues.txt
KU	302663	CDS	1517	Gehyra	mutilata	Philippines	Panay	False	2001-11-24	ku_gekkonid_tissues.txt
KU	302712	CDS	1516	Gekko	gecko	Philippines	Panay	False	2001-11-24	ku_gekkonid_tissues.txt
KU	302640	CDS	1511	Cyrtodactylus	philippinicus	Philippines	Pandan/Panay	True	2001-11-24	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302709	CDS	1513	Gekko	gecko	Philippines	Panay	False	2001-11-24	ku_gekkonid_tissues.txt
KU	302719	CDS	55	Gekko	gigante	Philippines	Panay	False	2000-09-06	ku_gekkonid_tissues.txt
KU	302566	CDS	54	Cosymbotus	platyurus	Philippines	Panay	False	2000-09-06	ku_gekkonid_tissues.txt
KU	302716	CDS	51	Gekko	gigante	Philippines	N gigante/Panay	True	2000-09-07	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	305140	CDS	50	Gekko	gigante	Philippines	Panay	False	2004-09-08	ku_gekkonid_tissues.txt
KU	302717	CDS	53	Gekko	gigante	Philippines	Panay	False	2000-09-07	ku_gekkonid_tissues.txt
KU	304144	CDS	52	Gekko	gecko	Philippines	Panay	False	2004-09-08	ku_gekkonid_tissues.txt
KU	302722	CDS	277	Gekko	cf monarchus/mindorensis	Philippines	Negros	True	2000-10-26	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302743	CDS	143	Gekko	ernstkelleri	Philippines	Panay	False	2000-10-14	ku_gekkonid_tissues.txt
KU	302804	CDS	140	Hemidactylus	frenatus	Philippines	Panay	False	2000-10-14	ku_gekkonid_tissues.txt
KU	302805	CDS	141	Hemidactylus	frenatus	Philippines	Panay	False	2000-10-14	ku_gekkonid_tissues.txt
KU	329534	RMB	14453	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-06-27	ku_gekkonid_tissues.txt
KU	329530	RMB	14180	Cyrtodactylus	philippinicus	Philippines	Luzon	False	2011-06-18	ku_gekkonid_tissues.txt
KU	320395	CDS	3935	Gekko	mindorensis	Philippines	Lubang	False		ku_gekkonid_tissues.txt
KU	320396	CDS	3936	Gekko	mindorensis	Philippines	Lubang	False		ku_gekkonid_tissues.txt
KU	320411	CDS	3931	Lepidodactylus	lugubris	Philippines	Lubang	False		ku_gekkonid_tissues.txt
KU	320410	CDS	3930	Lepidodactylus	lugubris	Philippines	Lubang	False		ku_gekkonid_tissues.txt
KU	320352	CDS	3933	Cyrtodactylus	philippinicus	Philippines	Lubang	False		ku_gekkonid_tissues.txt
KU	320351	CDS	3932	Cyrtodactylus	philippinicus	Philippines	Lubang	False		ku_gekkonid_tissues.txt
KU	304808	RMB	5929	Gekko	crombota	Philippines	Babuyan claro	False	2006-03-13	ku_gekkonid_tissues.txt
KU	304807	RMB	5928	Gekko	crombota	Philippines	Babuyan claro	False	2006-03-13	ku_gekkonid_tissues.txt
KU	308555	ELR	1013	Gekko	mindorensis	Philippines	Mindoro	False	2007-01-08	ku_gekkonid_tissues.txt
KU	308554	ELR	1012	Hemidactylus	frenatus	Philippines	Mindoro	False	2007-01-08	ku_gekkonid_tissues.txt
KU	308557	ELR	1015	Gehyra	mutilata	Philippines	Mindoro	False	2007-01-08	ku_gekkonid_tissues.txt
KU	308556	ELR	1014	Hemidactylus	frenatus	Philippines	Mindoro	False	2007-01-08	ku_gekkonid_tissues.txt
KU	308559	ELR	1017	Gekko	gecko	Philippines	Mindoro	False	2007-01-08	ku_gekkonid_tissues.txt
KU	308558	ELR	1016	Hemidactylus	frenatus	Philippines	Mindoro	False	2007-01-08	ku_gekkonid_tissues.txt
KU	304800	RMB	5921	Luperosaurus	macgregori	Philippines	Babuyan claro	False	2006-03-12	ku_gekkonid_tissues.txt
KU	308560	ELR	1018	Gekko	gecko	Philippines	Mindoro	False	2007-01-08	ku_gekkonid_tissues.txt
KU	304802	RMB	5923	Luperosaurus	macgregori	Philippines	Babuyan claro	False	2006-03-12	ku_gekkonid_tissues.txt
KU	304801	RMB	5922	Luperosaurus	macgregori	Philippines	Babuyan claro	False	2006-03-12	ku_gekkonid_tissues.txt
KU	304804	RMB	5925	Luperosaurus	macgregori	Philippines	Babuyan claro	False	2006-03-13	ku_gekkonid_tissues.txt
KU	302697	CDS	1606	Gekko	gecko	Philippines	Panay	False	2001-11-27	ku_gekkonid_tissues.txt
KU	302629	CDS	322	Cosymbotus	platyurus	Philippines	Cebu	False	2000-11-02	ku_gekkonid_tissues.txt
KU	302630	CDS	323	Cosymbotus	platyurus	Philippines	Cebu	False	2000-11-02	ku_gekkonid_tissues.txt
KU	302627	CDS	320	Cosymbotus	platyurus	Philippines	Cebu	False	2000-11-02	ku_gekkonid_tissues.txt
KU	302628	CDS	321	Cosymbotus	platyurus	Philippines	Cebu	False	2000-11-02	ku_gekkonid_tissues.txt
KU	302632	CDS	326	Cosymbotus	platyurus	Philippines	Cebu	False	2000-11-02	ku_gekkonid_tissues.txt
KU	302633	CDS	327	Cosymbotus	platyurus	Philippines	Cebu	False	2000-11-02	ku_gekkonid_tissues.txt
KU	302592	CDS	324	Cosymbotus	platyurus	Philippines	Cebu	False	2000-11-01	ku_gekkonid_tissues.txt
KU	302631	CDS	325	Cosymbotus	platyurus	Philippines	Cebu	False	2000-11-02	ku_gekkonid_tissues.txt
KU	319657	RMB	11591	Cyrtodactylus	jambangan	Philippines	Mindanao	False	2009-04-08	ku_gekkonid_tissues.txt
KU	321500	RMB	11597	Hemidactylus	frenatus	Philippines	Mindanao	False	2009-04-08	ku_gekkonid_tissues.txt
KU	302696	CDS	1469	Gekko	gecko	Philippines	Maestre de campo	False	2001-03-27	ku_gekkonid_tissues.txt
KU	304164	CDS	1464	Gekko	gecko	Philippines	Maestre de campo	False	2005-03-28	ku_gekkonid_tissues.txt
KU	302733	CDS	1461	Gekko	cf. mindorensis/monarchus	Philippines	Maestre de campo	True	2001-03-27	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302772	CDS	1460	Hemidactylus	frenatus	Philippines	Maestre de campo	False	2001-03-27	ku_gekkonid_tissues.txt
KU	302735	CDS	1463	Gekko	cf. mindorensis/monarchus	Philippines	Maestre de campo	True	2001-03-27	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	302734	CDS	1462	Gekko	cf. mindorensis/monarchus	Philippines	Maestre de campo	True	2001-03-27	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	307043	RMB	6366	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	307044	RMB	6367	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	307041	RMB	6364	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	307042	RMB	6365	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	306754	RMB	6362	Hemidactylus	frenatus	Philippines	Dalupiri	False	2006-09-12	ku_gekkonid_tissues.txt
KU	307040	RMB	6363	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	302666	CDS	1262	Gehyra	mutilata	Philippines	Mindoro	False	2001-03-13	ku_gekkonid_tissues.txt
KU	302665	CDS	1261	Gehyra	mutilata	Philippines	Mindoro	False	2001-03-13	ku_gekkonid_tissues.txt
KU	304690	RMB	5811	Cyrtodactylus	philippinicus	Philippines	Camiguin norte	False	2006-03-09	ku_gekkonid_tissues.txt
KU	307045	RMB	6368	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	307046	RMB	6369	Gekko	sp.	Philippines	Dalupiri	False	2006-09-13	ku_gekkonid_tissues.txt
KU	300203	CDS	212	Gekko	ernstkelleri/sp. 2	Philippines	Panay	True	2004-10-18	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
		CDS	213	Gekko	sp. 2	Philippines	Panay	True		gekkonid_lab_work.txt
KU	304149	CDS	210	Gekko	gecko	Philippines	Panay	False	2004-10-18	ku_gekkonid_tissues.txt
KU	302708	CDS	211	Gekko	gecko	Philippines	Panay	False	2000-10-18	ku_gekkonid_tissues.txt
KU	303898	ELR	633	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-02-20	ku_gekkonid_tissues.txt
KU	303897	ELR	632	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-02-20	ku_gekkonid_tissues.txt
KU	303896	ELR	631	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-02-20	ku_gekkonid_tissues.txt
KU	303895	ELR	630	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-02-20	ku_gekkonid_tissues.txt
KU	305424	ELR	637	Cyrtodactylus	philippinicus	Philippines	Mindoro	False	2006-09-17	ku_gekkonid_tissues.txt
KU	309327	RMB	7760	Cyrtodactylus	redimiculus	Philippines	Palawan/Samarinana	True	2007-03-28	ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
