Extn Box	Ext Cell	Field#	Genus	Species	Country	Island	GLOR52	Glor78	Glor145
1	A1	RMB4456	CYRT	sp	Subic		1	1	1
1	A6	CDS014	CYRT	sp	Zambales		1	1	1
1	A7	RMB5184	CYRT	philippinicus	Sibuyan		1	1	1
1	A8	ACD1267	CYRT	tautbatorum	Palawan		1	1	1
1	B1	RMB4091	CYRT	philippinicus	Quezon		1	1	1
1	B2	ACD1017	CYRT	philippinicus	Banahaw		1	1	1
1	B5	RMB942	CYRT	philippinicus	Luzon		1	1	1
1	B7	RMB3093	CYRT	tautbatorum	Palawan		1	1	1
1	B9	ACD2014	CYRT	philippinicus	Luzon		1	1	1
1	C3	CDS1442	CYRT	philippinicus	Sibuyan		1	1	1
1	C7	CDS280	CYRT	philippinicus	Negros		1	1	1
1	C8	RMB943	CYRT	philippinicus	Luzon		1	1	1
1	D1	ACD1018	CYRT	philippinicus	Banahaw		1	1	1
1	D2	RMB5114	CYRT	philippinicus	Romblon		1	1	1
1	D5	RMB4924	CYRT	philippinicus	Mindoro		1	1	1
1	D6	FRIM1142	CYRT	consobrinus			1	1	1
1	D7	RMB4094	CYRT	philippinicus	Luzon		1	1	1
1	E4	RMB4498	CYRT	sp	Subic		1	1	1
1	E6	GVAG226	CYRT	philippinicus	Sibalom		1	1	1
1	E7	RMB4858	CYRT	philippinicus	Mindoro		1	1	1
1	E8	CDS001	CYRT	sp	Zambales		1	1	1
1	E9	RMB1023	CYRT	philippinicus	Panay		1	1	1
1	F2	GVAG257	CYRT	philippinicus	Sibalom		1	1	1
1	F3	JAM1879	CYRT	tiomanensis	Tioman		1	1	1
1	F4	ACD2636	CYRT	annulatus	EMindanaoCorr		1	1	1
1	G1	DSM1085	CYRT	intermedius	Thailand		1	F	1
1	G6	CDSGS42	CYRT	philippinicus	Sipalay		1	1	1
1	G7	CDSGS43	CYRT	philippinicus	Sipalay		1	1	F
1	G8	ACD2711	CYRT	annulatus	EMindanaoCorr		1	1	1
1	H1	RMB3468	CYRT	philippinicus	Isarog		1	1	1
1	H2	RMB3251	CYRT	philippinicus	Negros		1	1	1
1	H3	RMB3630	CYRT	philippinicus	Banahao		1	1	1
1	H4	RMB3974	CYRT	philippinicus	Bulusan		1	1	F
1	H6	RMB3864	CYRT	philippinicus	Malinao		1	1	1
1	H8	RMB4003	CYRT	philippinicus	Bulusan		1	1	1
1	H9	CDS1511	CYRT	philippinicus	Pandan		1	1	1
1	I1	CDS1558	CYRT	philippinicus	Pandan		1	1	1
1	I3	RMB5349	CYRT	sp	Lubang		1	1	1
1	I9	RMB5905	CYRT	philippinicus	BabuyanClaro		1	1	1
2	A2	RMB5907	CYRT	philippinicus	BabuyanClaro		1	1	1
2	A8	FRIM1923	CYRT	consobrinus			1	F	1
2	B5	RMB3095	CYRT	tautbatorum	Palawan		1	F	1
2	C2	ACD1857	CYRT	philippinicus	Luzon		1	1	1
2	C3	RMB5185	CYRT	philippinicus	Sibuyan		1	1	1
2	C7	CDS1005	CYRT	philippinicus	Polillo		1	1	1
2	C8	CDS1111	CYRT	philippinicus	Polillo		1	1	1
2	D3	RMB3549	CYRT	philippinicus	Malinao		1	1	1
2	D4	RMB3584	CYRT	philippinicus	Bicol		1	1	1
2	D9	CDS1559	CYRT	philippinicus	Pandan		1	1	1
2	E4	RMB5351	CYRT	sp	Lubang		1	1	1
2	E8	RMB5752	CYRT	philippinicus	CamiguinNorte		1	1	1
2	F2	ELR328	CYRT	philippinicus	Mindoro		1	1	1
2	F6	CDS1834	CYRT	agusanensis	Samar		1	1	1
2	F8	CDS2038	CYRT	philippinicus	Naga		1	1	1
2	F9	CWL052	CYRT	philippinicus	Dumgte		1	1	1
2	G9	RMB6332	CYRT	philippinicus	Polillo		1	1	1
2	H1	RMB1672	CYRT	jellesme	Sulawesi		1	1	1
2	H2	RMB1692	CYRT	jellesme	Sulawesi		1	1	1
2	H6	ELR0639	CYRT	philippinicus	Mindoro		1	1	1
2	H7	RMB6447	CYRT	philippinicus	Aningalan		1	1	1
2	I1	ACD1858	CYRT	philippinicus	Luzon		1	1	1
2	I4	RMB3585	CYRT	philippinicus	Bicol		1	1	1
2	I7	RMB5501	CYRT	sp	Lubang		1	1	1
3	C3	LG4062	CYRT	consobrinus	EMalaysia		1	1	1
3	C5	LG4018	CYRT	quadrivirgatus	WMalaysia		1	F	1
3	C7	LG3771	CYRT	tiomanensis	WMalaysia		1	1	1
3	D5	ELR0909	CYRT	philippinicus	Dayog		1	1	1
3	D6	ELR0980	CYRT	philippinicus	Dayog		1	1	1
3	D7	ELR1279	CYRT	philippinicus	Dayog		1	1	1
3	D8	ELR1280	CYRT	philippinicus	Dayog		1	1	1
3	D9	CDS2384	CYRT	philippinicus	Catanduanes		1	1	1
3	E4	RMB7364	CYRT	philippinicus	CamiguinNorte		1	1	1
3	E6	FMNH230113	CYRT	consobrinus	Malaysia		1	1	1
3	E7	FMNH263234	CYRT	intermedius	Cambodia		1	1	1
3	G8	RMB7760	CYRT	redimiculus	Samarinana		1	1	1
3	G9	RMB7829	CYRT	redimiculus	Samarinana		1	1	1
3	H1	RMB7842	CYRT	redimiculus	Samarinana		1	1	1
3	I5	RMB8761	CYRT	philippinicus	Tablas		1	1	1
3	I7	RMB8763	CYRT	philippinicus	Tablas		1	1	1
3	I8	RMB8764	CYRT	philippinicus	Tablas		1	1	1
4	A3	CDS2844	CYRT	agusanensis	Taft		1	1	
4	A4	CDS2967	CYRT	agusanensis	Taft		1	1	1
4	B2	CDS3175	CYRT	agusanensis	Baybay		1	1	1
4	B3	CDS3176	CYRT	agusanensis	Baybay		1	1	1
4	B4	CDS3179	CYRT	agusanensis	Baybay		1	1	1
4	E9	RMB8381	CYRT	agusanensis	Dinagat		1	1	1
4	F9	RMB8382	CYRT	agusanensis	Dinagat		1	1	1
4	H1	SP06892	CYRT	baluensis	Kinabalu		1	F	1
4	H2	SP06906	CYRT	baluensis	Kinabalu		1	1	1
4	H3	RMB9437	CYRT	annulatus	Mindanao		1	1	1
4	H4	RMB9459	CYRT	annulatus	Mindanao		1	1	1
		RMB9437	CYRT	annulatus	Mindanao		1	1	1
		RMB9459	CYRT	annulatus	Mindanao		1	1	1
1	A1	CDS1229	GEKKO	mindorensis	Philippines	Mindoro	1	1	1
1	A2	CDS591	GEKKO	cf mindorensis	Philippines	Caluya	1	1	1
1	A3	CDS787	GEKKO	cf romblon	Philippines	Romblon	1	1	1
1	A6	ACD1454	GEKKO		Philippines	Luzon	1	1	1
1	A7	CDS213	GEKKO	sp. 2	Philippines	Panay	1	1	1
1	B2	RMB2990	GEKKO		Philippines	Palawan	1	1	1
1	B3	CDS278	GEKKO	cf monarchus	Philippines	Negros	1	1	1
1	B6	RMB515	GEKKO	mindorensis	Philippines	Mindoro	1	1	1
1	B7	RMB4093	GEKKO	sp	Philippines	Luzon	1	1	1
1	B8	ACD1661	GEKKO		Philippines	Verde Island	1	1	1
1	B9	CDS048	GEKKO	gigante	Philippines	N. Gigante	1	1	1
1	C1	CDS786	GEKKO	cf romblon	Philippines	Romblon	1	1	1
1	C2	RMB2870	GEKKO		Philippines	Panglao Island	1	1	1
1	C3	CDS100	GEKKO	cf monarchus	Philippines	Camiguin	1	1	1
1	C5	CDS277	GEKKO	cf monarchus	Philippines	Negros	1	1	1
1	C6	CDS548	GEKKO	cf monarchus	Philippines	Guimaras	1	1	1
1	C7	CDS757	GEKKO	cf monarchus	Philippines	Masbate	1	1	1
1	C8	ACD899	GEKKO		Philippines	Luzon	1	1	1
1	C9	RMB4090	GEKKO	sp	Philippines	Luzon	1	1	1
1	D1	RMB5124	GEKKO	romblon	Philippines	Romblon	1	1	1
1	D4	ACD1445	GEKKO		Philippines	Luzon	1	1	1
1	D6	CDS1228	GEKKO	mindorensis	Philippines	Mindoro	1	1	1
1	D8	CDS755	GEKKO	cf monarchus	Philippines	Masbate	1	1	1
1	D9	ACD1295	GEKKO	palawanensis	Philippines	Palawan	1	1	1
1	E1	CDS046	GEKKO	cf mindorensis	Philippines	S. Gigante	1	1	1
1	E2	CDS064	GEKKO	sp	Philippines	Panay	1	1	1
1	E4	CDS1462	GEKKO	monarchus	Philippines	Maestre de Campo	1	1	1
1	E7	CDS590	GEKKO	cf mindorensis	Philippines	Caluya	1	1	1
1	E9	CDS1461	GEKKO	monarchus	Philippines	Maestre de Campo	1	1	1
1	F1	CDS382	GEKKO	cf monarchus	Philippines	Guimaras	1	1	1
1	F5	ACD2462	GEKKO		Philippines	Luzon	1		
1	G3	CDS212	GEKKO	sp. 2	Philippines	Panay	1	1	1
1	G8	JAM4827	GEKKO	monarchus			1	1	1
1	G9	BSI317	GEKKO	monarchus			1	1	1
1	H2	BSI1140	GEKKO				1	1	1
1	H3	BSI787	GEKKO				1	1	1
1	H4	BSI819	GEKKO				1	1	1
1	H5	BSI339	GEKKO	monarchus	tangkoke?		1	1	1
1	H6	BSI338	GEKKO	monarchus	tangkoke?		1	1	1
1	H8	JAM1337	GEKKO	monarchus	palawan		1	1	
1	H9	JAM1712	GEKKO	smithi	gombak		1	1	1
1	I1	ACD1235	GEKKO		Philippines	Luzon	1	1	1
1	I2	RMB2961	GEKKO	romblon	Philippines	Sibuyan	1	1	1
1	I4	CDS758	GEKKO	cf monarchus	Philippines	Masbate	1	1	1
1	I5	CDS031	GEKKO	cf mindorensis	Philippines	S. Gigante			
1	I6	RMB3969	GEKKO				1	1	1
2	A3	RMB5705	GEKKO	sp	Philippines	Camiguin Norte Is.	1	1	1
2	A7	RMB5930	GEKKO	sp	Philippines	Babuyan Claro	1	1	1
2	A8	RMB5997	GEKKO	sp	Philippines	Calayan	1	1	1
2	A9	RMB5998	GEKKO	sp	Philippines	Calayan	1	1	1
2	B2	RMB5703	GEKKO	sp	Philippines	Camiguin Norte Is.	1	1	1
2	B4	ELR388	GEKKO	mindorensis	Philippines	Mindoro	1	1	1
2	B5	ELR389	GEKKO	mindorensis	Philippines	Mindoro	1	1	1
2	B6	RMB3984	GEKKO				1	1	1
2	B8	ACD1546	GEKKO		Philippines	Palawan	1	1	1
2	C1	CDSGS39	GEKKO	cf mindorensis	Philippines	Negros	1	1	1
2	C2	CDSGS41	GEKKO	cf mindorensis	Philippines	Negros			
2	D2	RMB2991	GEKKO		Philippines	Palawan	1	1	1
2	D4	RMB2992	GEKKO		Philippines	Palawan	1	1	1
2	D7	RMB514	GEKKO	mindorensis	Philippines	Mindoro	1	1	1
2	D8	CDS1230	GEKKO	mindorensis	Philippines	Mindoro	1	1	1
2	D9	CDS101	GEKKO	cf monarchus	Philippines	Camiguin	1	1	1
2	E1	CDS102	GEKKO	cf monarchus	Philippines	Camiguin	1	1	1
2	E3	CDS157	GEKKO	sp. 1	Philippines	Panay	1	1	
2	E5	CDS279	GEKKO	cf monarchus	Philippines	Negros	1	1	1
2	F4	CDS051	GEKKO	gigante	Philippines	N. Gigante	1	1	1
2	F6	CDS065	GEKKO	sp	Philippines	Panay	1	1	1
2	F7	CDS066	GEKKO	sp	Philippines	Panay	1	1	1
2	G1	CDS1463	GEKKO	monarchus	Philippines	Maestre de Campo	1	1	1
2	G4	CDSGS40	GEKKO	cf mindorensis	Philippines	Negros	1	1	1
2	G5	RMB3933	GEKKO				1	1	1
2	H2	RMB5220	GEKKO	cf monarchus	Philippines	Lubang	1	1	F
2	H3	RMB5286	GEKKO	monarchus	Philippines	Lubang	1	1	F
2	H7	RMB5726	GEKKO	sp	Philippines	Camiguin Norte Is.	1	1	1
