field_series	field_number	catalog_series	catalog_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
CDS	4485	KU	324366	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.70551	124.12344	W-338-G7	False	2009-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	4583	KU	324367	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.70551	124.12344	W-339-I6	False	2009-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	4658	KU	324369	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.70551	124.12344	X-346-H8	False	2009-08-02	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	4659	KU	324370	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.70551	124.12344	X-346-H9	False	2009-08-02	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	4660	KU	324371	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.70551	124.12344	X-346-I1	False	2009-08-02	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	4661	KU	324372	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.70551	124.12344	X-346-I2	False	2009-08-02	ku_freezer.txt/ku_gekkonid_tissues.txt
CDS	4763	KU	324373	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.70551	124.12344	X-348-B5	False	2009-08-03	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8043	KU	309365	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan			P-239-B3	False	2007-06-03	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8201	KU	309363	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan			Q-241-B1	False	2007-06-16	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8220	KU	309366	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan			Q-241-D2	False	2007-06-18	ku_freezer.txt/ku_gekkonid_tissues.txt
RMB	8232	KU	309364	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan			Q-241-E5	False	2007-06-19	ku_freezer.txt/ku_gekkonid_tissues.txt
