tube	field_series	field_number	catalog_series	catalog_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
306	CDS	4485	KU	324366	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.7055100	124.1234400	W-338-G7	False	2009-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
307	CDS	4583	KU	324367	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.7055100	124.1234400	W-339-I6	False	2009-08-01	ku_freezer.txt/ku_gekkonid_tissues.txt
316	CDS	4658	KU	324369	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.7055100	124.1234400	X-346-H8	False	2009-08-02	ku_freezer.txt/ku_gekkonid_tissues.txt
317	CDS	4659	KU	324370	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.7055100	124.1234400	X-346-H9	False	2009-08-02	ku_freezer.txt/ku_gekkonid_tissues.txt
318	CDS	4660	KU	324371	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.7055100	124.1234400	X-346-I1	False	2009-08-02	ku_freezer.txt/ku_gekkonid_tissues.txt
319	CDS	4661	KU	324372	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.7055100	124.1234400	X-346-I2	False	2009-08-02	ku_freezer.txt/ku_gekkonid_tissues.txt
320	CDS	4763	KU	324373	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao	Bohol Province; Municipality of Bilar; Barangay Riverside; Magsaysay Park; Raja Sikatuna Natural Park	9.7055100	124.1234400	X-348-B5	False	2009-08-03	ku_freezer.txt/ku_gekkonid_tissues.txt
200	RMB	8043	KU	309365	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	"Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan"			P-239-B3	False	2007-06-03	ku_freezer.txt/ku_gekkonid_tissues.txt
201	RMB	8201	KU	309363	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	"Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan"			Q-241-B1	False	2007-06-16	ku_freezer.txt/ku_gekkonid_tissues.txt
202	RMB	8220	KU	309366	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	"Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan"			Q-241-D2	False	2007-06-18	ku_freezer.txt/ku_gekkonid_tissues.txt
