catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	tissue_sample.found	tissue_sample.material	tissue_sample.preservative	tissue_sample.tube_data	tissue_sample.notes	extraction.protocol	extraction.rnase	extraction.qubit	extraction.notes	extraction.gel_lane	extraction.plate	extraction.row	extraction.column	extraction.dilution	cam_extract	cam_extract_cell	date	source
KU	314836	RMB	9223	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9922333	122.0604333	S-285-A3	True	liver	etoh	{}		guanidine thiocyanate	True	29.7		53	1	E	5	5.0	False		2008-07-11	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302740	CDS	790	Gekko	romblon	Philippines	Romblon	Romblon	Romblon Province; Municipality of Romblon; Barangay Li-o	12.5741000	122.2940000	E-69-3	True	liver	etoh	{}		guanidine thiocyanate	True	362.0		323	3	A	7	5.0	False		2001-01-27	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	329530	RMB	14180	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 1, Mt. Pao	-18.4380000	120.8780000	AA-403-G6	True	liver	etoh	{}		guanidine thiocyanate	True	64.4		114	1	G	10	5.0	False		2011-06-18	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302733	CDS	1461	Gekko	mindorensis	Philippines	Maestre De Campo	Romblon	Romblon Province; Municipality of Concepcion; Barangay San Vicente	12.9155833	121.7248833	E-75-59	True	liver	etoh	{}		guanidine thiocyanate	True	630.0		264	3	C	1	5.0	True	E9	2001-03-27	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	309364	RMB	8232	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan			Q-241-E5	True	liver	etoh	{}		guanidine thiocyanate	True	140.0		11	1	H	1	5.0	False		2007-06-19	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	322254	RMB	12578	Gehyra	mutilata	Philippines	Luzon	Luzon	Aurora Province; Municipality of Baler; Barangay Zabali, Aurora State College of Technology (ASCOT)	15.7420000	121.5760000	U-308-B3	True	liver	etoh	{}		guanidine thiocyanate	True	19.5		186	2	E	5	5.0	False		2009-06-07	ku_gekkonid_tissues.txt
KU	300200	CDS	159	Gekko	ernstkelleri	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; N/A	11.7609167	122.0411833	D-60-73	True	liver	etoh	{}		guanidine thiocyanate	True	75.5		214	2	D	8	5.0	False		2004-10-15	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	324377	CDS	4342	Cyrtodactylus	philippinicus	Philippines	Negros	Visayan	Negros Occidental Province; ; Barangay Patag; city of Silay; Mt. Bungol	10.6759900	123.1877700	W-340-G5	True	liver	etoh	{}		guanidine thiocyanate	True	26.6		141	2	F	1	5.0	False		2009-07-21	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	303912	RMB	5006	Gekko	mindorensis	Philippines	Mindoro	Mindoro	Oriental Mindoro Province; Municipality of Bongabong; Barangay Formon, Sitio Balogbog, Cueba Simbahan	12.7210500	121.3824167	F-76-26	True	liver	etoh	{}		guanidine thiocyanate	True	229.0		284	3	B	3	5.0	False		2005-03-12	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	313820	RMB	9748	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Camarines Norte Province; Municipality of Labo; Barangay Tulay Na Lupa, Mt. Labo camp 1	14.0238100	122.4729400	S-273-D2	True	liver	etoh	{}		guanidine thiocyanate	True	91.8		112	1	E	10	5.0	False		2008-06-24	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	303911	RMB	5005	Gekko	mindorensis	Philippines	Mindoro	Mindoro	Oriental Mindoro Province; Municipality of Bongabong; Barangay Formon, Sitio Balogbog, Cueba Simbahan	12.7210500	121.3824167	F-76-25	True	liver	etoh	{}		guanidine thiocyanate	True	127.0		283	3	A	3	5.0	False		2005-03-12	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	313819	RMB	9745	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Camarines Norte Province; Municipality of Labo; Barangay Tulay Na Lupa, Mt. Labo camp 1	14.0238100	122.4729400	S-273-C8	True	liver	etoh	{}		guanidine thiocyanate	True	510.0		111	1	D	10	5.0	False		2008-06-25	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	322259	RMB	12536	Gehyra	mutilata	Philippines	Luzon	Luzon	Aurora Province; Municipality of Baler; Barangay Zabali, Aurora State College of Technology (ASCOT)	15.7420000	121.5760000	U-307-F6	True	liver	rnalater	{}		guanidine thiocyanate	True	369.0		185	2	D	5	5.0	False		2009-06-05	ku_gekkonid_tissues.txt
KU	300197	CDS	155	Gekko	ernstkelleri	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; N/A	11.7609167	122.0411833	D-60-69	True	liver	etoh	{}		guanidine thiocyanate	True	206.0		211	2	B	8	5.0	False		2004-10-15	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	313818	RMB	9740	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Camarines Norte Province; Municipality of Labo; Barangay Tulay Na Lupa, Mt. Labo camp 1	14.0238100	122.4729400	S-273-C3	True	liver	etoh	{}		guanidine thiocyanate	True	451.0		110	1	C	10	5.0	False		2008-06-24	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	324378	CDS	4384	Cyrtodactylus	philippinicus	Philippines	Negros	Visayan	Negros Occidental Province; ; Barangay Patag; city of Silay; Mt. Bungol	10.6759900	123.1877700	X-358-F4	True	liver	etoh	{}		guanidine thiocyanate	True	55.3		142	2	G	1	5.0	False		2009-07-23	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	328803	RMB	13664	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-I1	True	liver	etoh	{}		guanidine thiocyanate	True	436.0		134	1	G	12	5.0	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	330191	RMB	14956	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Cagayan Province; Municipality of Gonzaga; Barangay Magrafil, Site 2, Mt. Cagua	18.2360000	122.1040000	AB-413-D3	True	liver	etoh	{}		guanidine thiocyanate	True	21.2		102	1	E	9	5.0	False		2011-07-20	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302640	CDS	1511	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7608100	122.0397400	G-99-B9	True	liver	etoh	{}		guanidine thiocyanate	True	32.9		144	2	A	2	5.0	True	H9	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
		NOSERIES	4679	Ptychozoon	kuhli	Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman, Tekek-Juara Trail			D-54-LOOSE	True	liver	etoh	{}		guanidine thiocyanate	True	186.0		389	3	G	12	5.0	False			ku_freezer.txt
