lane	qubit	catalog_series	catalog_number	field_series	field_number
1	64	KU	324366	CDS	4485
2	385	KU	324367	CDS	4583
3	103	KU	324369	CDS	4658
4	264	KU	324370	CDS	4659
5	150	KU	324371	CDS	4660
8	194	KU	309365	RMB	8043
9	111	KU	309363	RMB	8201
10	232	KU	309366	RMB	8220
11	140	KU	309364	RMB	8232
12	42.1	KU	305567	CDS	1768
13	177	KU	305568	CWL	88
14	83.2	KU	305569	CWL	89
15	17.2	KU	305570	CWL	90
16	318			PNM/CMNH H	1289
18	700			PNM/CMNH H	1291
19	132			PNM/CMNH H	1292
20	62.4			PNM/CMNH H	1293
21	265			PNM/CMNH H	1298
26	209	KU	319651	RMB	11229
27	171	KU	319653	RMB	11302
28	420	KU	319659	RMB	11309
29	228	KU	319845	RMB	11714
30	56.6			RMB	7716
33	352			RMB	7720
34	86.5			RMB	7722
35	48.7			RMB	7724
36	45			RMB	7725
40	90.8			SP	6891
41	161			SP	6892
42	237			SP	6906
43	57.5	KU	326520	RMB	8931
44	186	KU	326521	RMB	8932
45	65.2	KU	326522	RMB	8933
46	138	KU	326523	RMB	8934
49	116	KU	326526	RMB	8937
50	140	KU	319657	RMB	11591
51	226	KU	319844	RMB	11670
52	236	KU	314807	RMB	9207
53	29.7	KU	314836	RMB	9223
56	118	KU	319661	RMB	11746
58	79.1	KU	310112	RMB	8416
59	27.8	KU	310098	RMB	8417
60	165	KU	310099	RMB	8418
63	173	KU	310102	RMB	8444
64	85.8	KU	310103	RMB	8445
65	72.6	KU	304784	RMB	5905
66	113	KU	304785	RMB	5906
67	31.8	KU	304786	RMB	5907
68	150	KU	304634	RMB	5754
69	126	KU	304635	RMB	5755
71	164	KU	304637	RMB	5757
74	210	KU	304690	RMB	5811
75	57.9	KU	320346	CDS	3751
76	14.3	KU	320347	CDS	3752
78	155	KU	320349	CDS	3793
79	93.1	KU	320350	CDS	3869
80	279	KU	320351	CDS	3932
81	112	KU	328804	RMB	13669
82	50.6	KU	328805	RMB	13670
83	47.7	KU	328806	RMB	13713
84	52.1	KU	328807	RMB	13719
85	0	KU	328808	RMB	13720
88	167	KU	323189	RMB	12834
89	52	KU	323190	RMB	12835
90	292	KU	323191	RMB	12836
91	91.8	KU	323192	RMB	12837
92	170	KU	323193	RMB	12838
94	39.8	KU	329346	RMB	13902
95	220	KU	329348	RMB	13961
98	300	KU	329351	RMB	13964
100	368	KU	329353	RMB	13966
102	21.2	KU	330191	RMB	14956
103	116	KU	330192	RMB	15052
105	161	KU	330195	RMB	15119
106	6.47	KU	330196	RMB	15211
107	31.4	KU	330197	RMB	15212
108	101	KU	313815	RMB	9693
110	451	KU	313818	RMB	9740
111	510	KU	313819	RMB	9745
112	91.8	KU	313820	RMB	9748
113	25.4	KU	313821	RMB	9749
114	64.4	KU	329530	RMB	14180
116	160	KU	329532	RMB	14249
117	63.6	KU	329533	RMB	14310
118	235	KU	329534	RMB	14453
119	129	KU	330794	CDS	5627
121	90.8	KU	331667	CDS	5724
122	8.13	KU	330796	CDS	5727
123	208	KU	330797	CDS	5822
124	218	KU	330798	CDS	5823
126	105	KU	325814	RMB	13366
127	20.1	KU	325815	RMB	13367
128	155	KU	325816	RMB	13510
129	20	KU	325817	RMB	13571
130	258	KU	328799	RMB	13651
131	560	KU	328800	RMB	13652
132	1.54	KU	328801	RMB	13653
133	186	KU	328802	RMB	13654
134	436	KU	328803	RMB	13664
135	103	KU	305430	ELR	681
136	272	KU	305431	ELR	682
137	61.9	KU	306613	RMB	6447
138	247	KU	306612	RMB	6455
139	129	KU	306614	RMB	6628
140	139	KU	324376	CDS	4341
141	26.6	KU	324377	CDS	4342
142	55.3	KU	324378	CDS	4384
143	122	KU	302639	CDS	173
144	32.9	KU	302640	CDS	1511
145	67.7	KU	302641	CDS	1550
150	134	KU	302650	CDS	1112
151	71.1	KU	307451	RMB	6259
152	356	KU	307452	RMB	6260
153	45.5	KU	307453	RMB	6261
156	5.14	KU	307455	RMB	6332
157	226	KU	302635	CDS	1442
158	219	KU	303848	RMB	5184
159	79.4	KU	303849	RMB	5185
160	143	KU	315340	RMB	8761
161	19.7	KU	315341	RMB	8762
164	137	KU	315345	RMB	8790
165	404	KU	309326	RMB	7757
167	4.1	KU	309328	RMB	7829
168	105	KU	309329	RMB	7842
169	28.6	KU	309330	RMB	7859
170	8.58	KU	309627	RMB	7873
172	30.1	KU	310798	CDS	2844
173	9.77	KU	310799	CDS	2967
174	8.78	KU	310800	CDS	2984
175	18.9	KU	310801	CDS	3030
176	5.11	KU	310802	CDS	3047
177	448	KU	309319	RMB	7646
178	31.9	KU	309320	RMB	7647
180	81.7	KU	309322	RMB	7649
181	204	KU	309323	RMB	7650
183	22.9	KU	309325	RMB	7721
185	369	KU	322259	RMB	12536
186	19.5	KU	322254	RMB	12578
187	41.5	KU	322260	RMB	12582
188	68.5	KU	322261	RMB	12584
189	19	KU	309335	RMB	3118
190	83.9	KU	309331	RMB	7828
191	10.1	KU	309332	RMB	7830
192	75.9	KU	309333	RMB	7831
