plate	row	col	qubit	catalog_series	catalog_number	field_series	field_number
1	A	1	64	KU	324366	CDS	4485
1	B	1	103	KU	324369	CDS	4658
1	C	1	264	KU	324370	CDS	4659
1	D	1	150	KU	324371	CDS	4660
1	E	1	194	KU	309365	RMB	8043
1	F	1	111	KU	309363	RMB	8201
1	G	1	232	KU	309366	RMB	8220
1	H	1	140	KU	309364	RMB	8232
1	A	2	42.1	KU	305567	CDS	1768
1	B	2	177	KU	305568	CWL	88
1	C	2	83.2	KU	305569	CWL	89
1	D	2	17.2	KU	305570	CWL	90
1	E	2	318			PNM/CMNH H	1289
1	F	2	132			PNM/CMNH H	1292
1	G	2	62.4			PNM/CMNH H	1293
1	H	2	265			PNM/CMNH H	1298
1	A	3	209	KU	319651	RMB	11229
1	B	3	171	KU	319653	RMB	11302
1	C	3	420	KU	319659	RMB	11309
1	D	3	228	KU	319845	RMB	11714
1	E	3	56.6			RMB	7716
1	F	3	352			RMB	7720
1	G	3	86.5			RMB	7722
1	H	3	48.7			RMB	7724
1	A	4	45			RMB	7725
1	B	4	90.8			SP	6891
1	C	4	161			SP	6892
1	D	4	237			SP	6906
1	E	4	57.5	KU	326520	RMB	8931
1	F	4	186	KU	326521	RMB	8932
1	G	4	65.2	KU	326522	RMB	8933
1	H	4	138	KU	326523	RMB	8934
1	A	5	116	KU	326526	RMB	8937
1	B	5	140	KU	319657	RMB	11591
1	C	5	226	KU	319844	RMB	11670
1	D	5	236	KU	314807	RMB	9207
1	E	5	29.7	KU	314836	RMB	9223
1	F	5	118	KU	319661	RMB	11746
1	G	5	79.1	KU	310112	RMB	8416
1	H	5	27.8	KU	310098	RMB	8417
1	A	6	165	KU	310099	RMB	8418
1	B	6	173	KU	310102	RMB	8444
1	C	6	85.8	KU	310103	RMB	8445
1	D	6	72.6	KU	304784	RMB	5905
1	E	6	113	KU	304785	RMB	5906
1	F	6	31.8	KU	304786	RMB	5907
1	G	6	150	KU	304634	RMB	5754
1	H	6	126	KU	304635	RMB	5755
1	A	7	164	KU	304637	RMB	5757
1	B	7	210	KU	304690	RMB	5811
1	C	7	57.9	KU	320346	CDS	3751
1	D	7	14.3	KU	320347	CDS	3752
1	E	7	155	KU	320349	CDS	3793
1	F	7	93.1	KU	320350	CDS	3869
1	G	7	279	KU	320351	CDS	3932
1	H	7	112	KU	328804	RMB	13669
1	A	8	50.6	KU	328805	RMB	13670
1	B	8	47.7	KU	328806	RMB	13713
1	C	8	52.1	KU	328807	RMB	13719
1	D	8	167	KU	323189	RMB	12834
1	E	8	52	KU	323190	RMB	12835
1	F	8	292	KU	323191	RMB	12836
1	G	8	91.8	KU	323192	RMB	12837
1	H	8	170	KU	323193	RMB	12838
1	A	9	39.8	KU	329346	RMB	13902
1	B	9	220	KU	329348	RMB	13961
1	C	9	300	KU	329351	RMB	13964
1	D	9	368	KU	329353	RMB	13966
1	E	9	21.2	KU	330191	RMB	14956
1	F	9	116	KU	330192	RMB	15052
1	G	9	161	KU	330195	RMB	15119
1	H	9	6.47	KU	330196	RMB	15211
1	A	10	31.4	KU	330197	RMB	15212
1	B	10	101	KU	313815	RMB	9693
1	C	10	451	KU	313818	RMB	9740
1	D	10	510	KU	313819	RMB	9745
1	E	10	91.8	KU	313820	RMB	9748
1	F	10	25.4	KU	313821	RMB	9749
1	G	10	64.4	KU	329530	RMB	14180
1	H	10	160	KU	329532	RMB	14249
1	A	11	63.6	KU	329533	RMB	14310
1	B	11	235	KU	329534	RMB	14453
1	C	11	129	KU	330794	CDS	5627
1	D	11	90.8	KU	331667	CDS	5724
1	E	11	8.13	KU	330796	CDS	5727
1	F	11	208	KU	330797	CDS	5822
1	G	11	218	KU	330798	CDS	5823
1	H	11	105	KU	325814	RMB	13366
1	A	12	20.1	KU	325815	RMB	13367
1	B	12	155	KU	325816	RMB	13510
1	C	12	20	KU	325817	RMB	13571
1	D	12	258	KU	328799	RMB	13651
1	E	12	560	KU	328800	RMB	13652
1	F	12	186	KU	328802	RMB	13654
1	G	12	436	KU	328803	RMB	13664
1	H	12	103	KU	305430	ELR	681
2	A	1	272	KU	305431	ELR	682
2	B	1	61.9	KU	306613	RMB	6447
2	C	1	247	KU	306612	RMB	6455
2	D	1	129	KU	306614	RMB	6628
2	E	1	139	KU	324376	CDS	4341
2	F	1	26.6	KU	324377	CDS	4342
2	G	1	55.3	KU	324378	CDS	4384
2	H	1	122	KU	302639	CDS	173
2	A	2	32.9	KU	302640	CDS	1511
2	B	2	67.7	KU	302641	CDS	1550
2	C	2	134	KU	302650	CDS	1112
2	D	2	71.1	KU	307451	RMB	6259
2	E	2	356	KU	307452	RMB	6260
2	F	2	45.5	KU	307453	RMB	6261
2	G	2	5.14	KU	307455	RMB	6332
2	H	2	226	KU	302635	CDS	1442
2	A	3	219	KU	303848	RMB	5184
2	B	3	79.4	KU	303849	RMB	5185
2	C	3	143	KU	315340	RMB	8761
2	D	3	19.7	KU	315341	RMB	8762
2	E	3	137	KU	315345	RMB	8790
2	F	3	404	KU	309326	RMB	7757
2	G	3	105	KU	309329	RMB	7842
2	H	3	28.6	KU	309330	RMB	7859
2	A	4	8.58	KU	309627	RMB	7873
2	B	4	30.1	KU	310798	CDS	2844
2	C	4	9.77	KU	310799	CDS	2967
2	D	4	8.78	KU	310800	CDS	2984
2	E	4	18.9	KU	310801	CDS	3030
2	F	4	5.11	KU	310802	CDS	3047
2	G	4	448	KU	309319	RMB	7646
2	H	4	31.9	KU	309320	RMB	7647
2	A	5	81.7	KU	309322	RMB	7649
2	B	5	204	KU	309323	RMB	7650
2	C	5	22.9	KU	309325	RMB	7721
2	D	5	369	KU	322259	RMB	12536
2	E	5	19.5	KU	322254	RMB	12578
2	F	5	41.5	KU	322260	RMB	12582
2	G	5	68.5	KU	322261	RMB	12584
