box	cell	found	preservative	material	tube_data	notes	tube	field_number	field_series	genus	epithet	catalog_series	catalog_number	country	island	paic	locality	lat	long	tissue	extract	date	source
24			etoh				1	5042	LSUHC	Ptychozoon	kuhli	LSUHC	5042	Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman, Sungai Mentawak			B-24-None	0		ku_freezer.txt
49	21		etoh				2	5184	RMB	Cyrtodactylus	philippinicus	KU	303848	Philippines	Sibuyan	Romblon	Romblon Province; Municipality of Magdiwang; Barangay Talaba, Mount Guiting-Guiting Natural Park	12.4612167	122.66435	D-49-21	1	38434	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
49	22		etoh				3	5185	RMB	Cyrtodactylus	philippinicus	KU	303849	Philippines	Sibuyan	Romblon	Romblon Province; Municipality of Magdiwang; Barangay Talaba, Mount Guiting-Guiting Natural Park	12.4612167	122.66435	D-49-22	1	38434	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
50	69		etoh				4	5125	RMB	Gekko	romblon	KU	303978	Philippines	Romblon	Romblon	Romblon Province; Municipality of Romblon; Barangay Lunas, Watershed	12.5157667	122.2827833	D-50-69	0	38431	ku_freezer.txt/ku_gekkonid_tissues.txt
50	70		etoh				5	5124	RMB	Gekko	romblon	KU	303977	Philippines	Romblon	Romblon	Romblon Province; Municipality of Romblon; Barangay Lunas, Watershed	12.5157667	122.2827833	D-50-70	1	38431	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
51	72		etoh				6	1229	CDS	Gekko	mindorensis	KU	302668	Philippines	Mindoro	Mindoro	Oriental Mindoro Province; Municipality of Bongabong; Barangay Formon	12.72105	121.3824167	D-51-72	1	36961	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
51	73		etoh				7	1230	CDS	Gekko	mindorensis	KU	302669	Philippines	Mindoro	Mindoro	Oriental Mindoro Province; Municipality of Bongabong; Barangay Formon	12.72105	121.3824167	D-51-73	1	36961	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
51	74		etoh				8	1231	CDS	Gekko	mindorensis	KU	302670	Philippines	Mindoro	Mindoro	Oriental Mindoro Province; Municipality of Bongabong; Barangay Formon	12.72105	121.3824167	D-51-74	1	36961	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
54	LOOSE		etoh				9	3835	NOSERIES	Ptychozoon	kuhli			Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman, Tekek-Juara Trail			D-54-LOOSE	0		ku_freezer.txt
54	LOOSE		etoh				10	4679	NOSERIES	Ptychozoon	kuhli			Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman, Tekek-Juara Trail			D-54-LOOSE	0		ku_freezer.txt
54	LOOSE		etoh				11	6433	NOSERIES	Ptychozoon	kuhli			Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman, Tekek-Juara Trail			D-54-LOOSE	0		ku_freezer.txt
54	LOOSE		etoh				12	5539	NOSERIES	Ptychozoon	lionotum			West Malaysi	Pulau Sibu		West Malaysia, Johor, Pulau Sibu			D-54-LOOSE	0		ku_freezer.txt
54	LOOSE		etoh				13	5783	NOSERIES	Ptychozoon	lionotum			West Malaysi	Pulau Sibu		West Malaysia, Johor, Pulau Sibu			D-54-LOOSE	0		ku_freezer.txt
