catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	extract	date	source
LSUHC	240	LSUHC	240	Gekko	monarchus	Malaysia	Pulau Mertang Timur		Malaysia, Johor, Pulau Mertang Timur				False		LSUHC_geckos.txt
LSUHC	2599	LSUHC	2599	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False		LSUHC_geckos.txt
LSUHC	2598	LSUHC	2598	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False		LSUHC_geckos.txt
LSUHC	5633	LSUHC	5633	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False		LSUHC_geckos.txt
LSUHC	5867	LSUHC	5867	Cyrtodactylus	sworderi	West Malaysia			West Malaysia, Johor, Kota Tinggi Waterfall				False		LSUHC_geckos.txt
LSUHC	5631	LSUHC	5631	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False		LSUHC_geckos.txt
LSUHC	5630	LSUHC	5630	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False		LSUHC_geckos.txt
LSUHC	5357	LSUHC	5357	Cyrtodactylus	pulchellus	Malaysia			Malaysia, Perak, Bukit Larut				False		LSUHC_geckos.txt
LSUHC	2597	LSUHC	2597	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False		LSUHC_geckos.txt
LSUHC	2596	LSUHC	2596	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False		LSUHC_geckos.txt
LSUHC	5076	LSUHC	5076	Cyrtodactylus	cf. paradoxus	Vietnam	Nam Du		Vietnam, Nam Du Island				False		LSUHC_geckos.txt
LSUHC	6184	LSUHC	6184	Ptychozoon	kuhli	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False		LSUHC_geckos.txt
LSUHC	5138	LSUHC	5138	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol		West Malaysia, Terengganu, Pulau Tenggol				False		LSUHC_geckos.txt
LSUHC	5139	LSUHC	5139	Cyrtodactylus	leegrismeri	West Malaysia	Pulau Tenggol		West Malaysia, Terengganu, Pulau Tenggol				False		LSUHC_geckos.txt
LSUHC	6182	LSUHC	6182	Ptychozoon	kuhli	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False		LSUHC_geckos.txt
LSUHC	3451	LSUHC	3451	Ptychozoon	kuhli	West Malaysia	Pulau Langkawi		West Malaysia, Kedah, Pulau Langkawi				False		LSUHC_geckos.txt
