Cat. No.	Species	Locality	
3417	Cyrtodactylus	"Vietnam, Hon Ng He"	
4591	Cyrtodactylus	"East Malaysia, Sarawak"	
4906	Cyrtodactylus	"East Malaysia, Sarawak, Santubong"	
6249	Cyrtodactylus asterum	"Malaysia, Perlis, Perlis State Park, Gua Wang Burma"	
6259	Cyrtodactylus asterum	"Malaysia, Perlis, Perlis State Park"	
6260	Cyrtodactylus asterum	"Malaysia, Perlis, Perlis State Park"	
6317	Cyrtodactylus asterum	"Thailand, Satun Province, La-ngu"	
247	Cyrtodactylus aurensis	"Malaysia, Johor, Pulau Aur"	
248	Cyrtodactylus aurensis	"Malaysia, Johor, Pulau Aur"	
262	Cyrtodactylus aurensis	"Malaysia, Johor, Pulau Aur"	
263	Cyrtodactylus aurensis	"Malaysia, Johor, Pulau Aur"	
264	Cyrtodactylus aurensis	"Malaysia, Johor, Pulau Aur"	
265	Cyrtodactylus aurensis	"Malaysia, Johor, Pulau Aur"	
977	Cyrtodactylus aurensis	"Malaysia, Johor, Pulau Aur, Kampung Berhala"	
978	Cyrtodactylus aurensis	"Malaysia, Johor, Pulau Aur, Kampung Berhala"	
979	Cyrtodactylus aurensis	"Malaysia, Johor, Pulau Aur, Kampung Berhala"	
980	Cyrtodactylus aurensis	"Malaysia, Johor, Pulau Aur, Kampung Berhala"	
2486	Cyrtodactylus baluensis	"Malaysia, Sabah, Kanowit"	
4457	Cyrtodactylus batucolus	"West Malaysia, Melaka, Pulau Besar"	
4458	Cyrtodactylus batucolus	"West Malaysia, Melaka, Pulau Besar"	
4459	Cyrtodactylus batucolus	"West Malaysia, Melaka, Pulau Besar"	
4869	Cyrtodactylus batucolus	"West Malaysia, Melaka, Pulau Besar"	
6320	Cyrtodactylus bintangrendah	"Malaysia, Penang, Bukit Panchor, Malaysia"	
6319	Cyrtodactylus bintangtinggi	"Malaysia, Perak, Gunung Bubu"	
2283	Cyrtodactylus brevipalmatus	Thailand	
2284	Cyrtodactylus brevipalmatus	Thailand	
2285	Cyrtodactylus brevipalmatus	Thailand	
2286	Cyrtodactylus brevipalmatus	Thailand	
2287	Cyrtodactylus brevipalmatus	Thailand	
2288	Cyrtodactylus brevipalmatus	Thailand	
2289	Cyrtodactylus brevipalmatus	Thailand	
2290	Cyrtodactylus brevipalmatus	Thailand	
2291	Cyrtodactylus brevipalmatus	Thailand	
2487	Cyrtodactylus brevipalmatus	"Thailand, Khao Luang"	
4142	Cyrtodactylus caovansungi	Vietnam	
2978	Cyrtodactylus cf. condorensis	"Vietnam, Hon Son"	
2979	Cyrtodactylus cf. condorensis	"Vietnam, Hon Son"	
2980	Cyrtodactylus cf. condorensis	"Vietnam, Hon Son"	
5074	Cyrtodactylus cf. paradoxus	"Vietnam, Nam Du Island"	
5075	Cyrtodactylus cf. paradoxus	"Vietnam, Nam Du Island"	
5076	Cyrtodactylus cf. paradoxus	"Vietnam, Nam Du Island"	
3403	Cyrtodactylus cf. quadrivirgatus	"West Malaysia, Trengganu, Ulu Trengganu, Kenyir Lake"	
5527	Cyrtodactylus cf. quadrivirgatus	"West Malaysia, Selangor, Shah Alam"	
5528	Cyrtodactylus cf. quadrivirgatus	"West Malaysia, Selangor, Shah Alam"	
5529	Cyrtodactylus cf. quadrivirgatus	"West Malaysia, Selangor, Shah Alam"	
5530	Cyrtodactylus cf. quadrivirgatus	"West Malaysia, Selangor, Shah Alam"	
5980	Cyrtodactylus cf. quadrivirgatus	"West Malaysia, Penang, Bukit Pannchor"	
5981	Cyrtodactylus cf. quadrivirgatus	"West Malaysia, Penang, Bukit Pannchor"	
3395	Cyrtodactylus chuyangsinensis	"Vietnam, Chu Yang Sin National Park"	
3396	Cyrtodactylus chuyangsinensis	"Vietnam, Chu Yang Sin National Park"	
3397	Cyrtodactylus chuyangsinensis	"Vietnam, Chu Yang Sin National Park"	
3418	Cyrtodactylus chuyangsinensis	"Vietnam, Chu Yang Sin National Park"	
2964	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
2965	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
2966	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
2967	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
2968	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
2969	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
2970	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
2971	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
2972	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
2973	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
2974	Cyrtodactylus condorensis	"Vietnam, Ba Ria Vung Tau, Con Dao, Con Son Island"	
3319	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
3320	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
3321	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
3322	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
3323	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
3324	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
3325	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
3326	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
3327	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
3328	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
3329	Cyrtodactylus condorensis	"Vietnam, Con Dao Islands, Con Son Island"	
2582	Cyrtodactylus consobrinus	"Malaysia, Johor, Endau-Rompin"	
2583	Cyrtodactylus consobrinus	"Malaysia, Johor, Endau-Rompin"	
2584	Cyrtodactylus consobrinus	"Malaysia, Johor, Endau-Rompin"	
2585	Cyrtodactylus consobrinus	"Malaysia, Johor, Endau-Rompin"	
2586	Cyrtodactylus consobrinus	"Malaysia, Johor, Endau-Rompin"	
4460	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4461	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4462	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4463	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4464	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4465	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4466	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
4467	Cyrtodactylus consobrinus	"West Malaysia, Johor, Bunker Trail"	
5531	Cyrtodactylus consobrinus	"West Malaysia, Terengganu, Lata Tembaka"	
5532	Cyrtodactylus consobrinus	"West Malaysia, Terengganu, Lata Tembaka"	
5533	Cyrtodactylus consobrinus	"West Malaysia, Terengganu, Lata Tembaka"	
5857	Cyrtodactylus consobrinus	"West Malaysia, Johor, Gunung Lembak"	
5951	Cyrtodactylus consobrinus	"West Malaysia, Terengganu, Hutan Lipur Sekayo"	
5974	Cyrtodactylus consobrinus	"West Malaysia, Terengganu, Hutan Lipur Sekayo"	
5362	Cyrtodactylus durio	"Malaysia, Kedah, Sungai Sedim"	
5363	Cyrtodactylus durio	"Malaysia, Kedah, Sungai Sedim"	
5364	Cyrtodactylus durio	"Malaysia, Kedah, Sungai Sedim"	
5365	Cyrtodactylus durio	"Malaysia, Kedah, Sungai Sedim"	
