Tower	Box	Cell	Field Number	Genus	Species	Country	Island	Province	Municipality	Barangay	Local Area Name	Column1	Column2														
A	5	C4	ACD 1513	Cyrtodactylus	agusanensis	Philippines	Leyte		Baybay																		
Z	390	B5	ACD 5401	Cyrtodactylus	agusanensis	Philippines	Mindanao	Cotabato	Tampakan																		
Z	388	E1	ACD 6300	Cyrtodactylus	agusanensis	Philippines	Mindanao	Siargao	Burgos																		
Z	388	E2	ACD 6301	Cyrtodactylus	agusanensis	Philippines	Mindanao	Siargao	Burgos																		
Z	389	A1	ACD 6346	Cyrtodactylus	agusanensis	Philippines	Mindanao	Siargao	Burgos																		
AD	449	B9	ACD 7247	Cyrtodactylus	agusanensis	Philippines	Leyte Isl.	Southern Leyte Prov.	Sogud																		
AD	449	D3	ACD 7254	Cyrtodactylus	agusanensis	Philippines	Leyte Isl.	Southern Leyte Prov.	Sogud																		
Q	249	C4	CDS 2703	Cyrtodactylus	agusanensis	Philippines	Samar	Eastern Samar	Taft	San Rafael																	
Q	251	A1	CDS 2844	Cyrtodactylus	agusanensis	Philippines	Samar	Eastern Samar	Taft	San Rafael																	
Q	252	E7	CDS 2967	Cyrtodactylus	agusanensis	Philippines	Samar	Eastern Samar	Taft	San Rafael																	
Q	252	G6	CDS 2984	Cyrtodactylus	agusanensis	Philippines	Samar	Eastern Samar	Taft	San Rafael																	
Q	253	C7	CDS 3030	Cyrtodactylus	agusanensis	Philippines	Samar	Eastern Samar	Taft	San Rafael																	
Q	253	E6	CDS 3047	Cyrtodactylus	agusanensis	Philippines	Samar	Eastern Samar	Taft	San Rafael																	
Q	254	D5	CDS 3118	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	254	F4	CDS 3135	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	A7	CDS 3174	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	A8	CDS 3175	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	A9	CDS 3176	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	B1	CDS 3177	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	B2	CDS 3178	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	B3	CDS 3179	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	B4	CDS 3180	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	B5	CDS 3181	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	B8	CDS 3184	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	B9	CDS 3185	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	C1	CDS 3186	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	C2	CDS 3187	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	C3	CDS 3188	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	C4	CDS 3189	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	C5	CDS 3190	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	C6	CDS 3191	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	C7	CDS 3192	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	C8	CDS 3193	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	C9	CDS 3194	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	D1	CDS 3195	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	D2	CDS 3196	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	D3	CDS 3197	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	D4	CDS 3198	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	D5	CDS 3199	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	D6	CDS 3200	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	D7	CDS 3201	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	D8	CDS 3202	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	D9	CDS 3203	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	E1	CDS 3204	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	E2	CDS 3205	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	E3	CDS 3206	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	E4	CDS 3207	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	E5	CDS 3208	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	E6	CDS 3209	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	E7	CDS 3210	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	E8	CDS 3211	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	H1	CDS 3231	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	H2	CDS 3232	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	H3	CDS 3233	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	H4	CDS 3234	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	H5	CDS 3235	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	H7	CDS 3237	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	H8	CDS 3238	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	H9	CDS 3239	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	I1	CDS 3240	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
Q	255	I2	CDS 3241	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	B3	CDS 3260	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	B4	CDS 3261	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	B5	CDS 3262	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	B6	CDS 3263	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	B7	CDS 3264	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	B8	CDS 3265	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	B9	CDS 3266	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	C1	CDS 3267	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	C2	CDS 3268	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	C3	CDS 3269	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	C4	CDS 3270	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	C5	CDS 3271	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	C6	CDS 3272	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	C7	CDS 3273	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	C8	CDS 3274	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	C9	CDS 3275	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	D1	CDS 3276	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	D2	CDS 3277	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	D3	CDS 3278	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	D4	CDS 3279	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	D5	CDS 3280	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	D6	CDS 3281	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	D7	CDS 3282	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	D8	CDS 3283	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	D9	CDS 3284	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	E1	CDS 3285	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	E2	CDS 3286	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	E3	CDS 3287	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	E4	CDS 3288	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	E5	CDS 3289	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	E6	CDS 3290	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	E7	CDS 3291	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	E8	CDS 3292	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	E9	CDS 3293	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	F1	CDS 3294	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	F2	CDS 3295	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	F3	CDS 3296	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	F4	CDS 3297	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	F5	CDS 3298	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	256	F6	CDS 3299	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	257	G8	CDS 3391	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	257	G9	CDS 3392	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	257	H1	CDS 3393	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	258	B6	CDS 3425	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	258	F7	CDS 3462	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
R	258	F8	CDS 3463	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Pilim	San Vicente																
H	119	E4	CDS1834	Cyrtodactylus	agusanensis	Philippines	Samar	Eastern Samar	Taft	Taft Forest																	
I	121	E9	CDS2000	Cyrtodactylus	agusanensis	Philippines	Dinagat	Surigao	Loredo	Esperanza																	
I	128	63	CWL 326	Cyrtodactylus	agusanensis	Philippines	Dinagat Is.	Surigao del Norte	Loredo	Esperanza																	
A	2	B3	RMB 4353	Cyrtodactylus	agusanensis	Philippines	Leyte 		Baybay																		
A	2	E6	RMB 4353	Cyrtodactylus	agusanensis	Philippines	Leyte 		Baybay																		
O	220	F2	RMB 4353	Cyrtodactylus	agusanensis	Philippines																					
R	263	H1	RMB 8931	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Visayas State University Campus																	
R	263	H2	RMB 8932	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Visayas State University Campus																	
R	263	H3	RMB 8933	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Visayas State University Campus																	
R	263	H4	RMB 8934	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Visayas State University Campus																	
R	263	H5	RMB 8935	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Visayas State University Campus																	
R	263	H6	RMB 8936	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Visayas State University Campus																	
R	263	H7	RMB 8937	Cyrtodactylus	agusanensis	Philippines	Leyte	Leyte	Baybay	Visayas State University Campus																	
G	97	6D	PNM/CMNH H 1602	Cyrtodactylus	agusanensis																						
N	210	D1	DSM 1327L	Cyrtodactylus	angularis	Thailand					"SERS, Nakhon Ratchasima"																
B	20	B4	ACD 1017	Cyrtodactylus	annulatus	Philippines	Luzon		Mt. Banahaw																		
A	6	C2	ACD 1280	Cyrtodactylus	annulatus	Philippines	Palawan		Mt. Mantalingahan																		
AD	446	I4	ACD 7195	Cyrtodactylus	annulatus	Philippines	Leyte Isl.	Southern Leyte Prov.	Sogud																		
X	356	B1	ACD4937	Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotabato	Tampakan	"Tablu, Sitio Datal Mangisi, Mining site of Sagitarrius Mines Inc."																
X	356	I9	ACD5168	Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotabato	Tampakan	"Tablu, Sitio Datal Mangisi, Mining site of Sagitarrius Mines Inc."																
X	357	B7	ACD5184	Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotabato	Tampakan	"Tablu, Sitio Datal Mangisi, Mining site of Sagitarrius Mines Inc."																
X	357	B8	ACD5185	Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotabato	Tampakan	"Tablu, Sitio Datal Mangisi, Mining site of Sagitarrius Mines Inc."																
X	357	C7	ACD5193	Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotabato	Tampakan	"Tablu, Sitio Datal Mangisi, Mining site of Sagitarrius Mines Inc."																
X	357	D8	ACD5203	Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotabato	Tampakan	"Tablu, Sitio Datal Mangisi, Mining site of Sagitarrius Mines Inc."																
W	338	G4	CDS 4482	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"																	
W	338	G5	CDS 4483	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"																	
W	338	G6	CDS 4484	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"																	
W	338	G7	CDS 4485	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"																	
W	339	I6	CDS 4583	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"																	
X	346	D8	CDS4622	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"	9.70551	124.12344															
X	346	H8	CDS4658	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"	9.70551	124.12344															
X	346	H9	CDS4659	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"	9.70551	124.12344															
X	346	I1	CDS4660	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"	9.70551	124.12344															
X	346	I2	CDS4661	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"	9.70551	124.12344															
X	348	B5	CDS4763	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Bilar	"Riverside, Magsaysay Park, Raja Sikatuna Protected Landscape"	9.70551	124.12344															
X	349	C1	CDS4850	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Sierra Bullones	"Danicop, Raja Sikatuna Protected Landscape"	9.76116	124.28882															
X	350	G5	CDS4971	Cyrtodactylus	annulatus	Philippines	Bohol	Bohol	Sierra Bullones	"Danicop, Raja Sikatuna Protected Landscape"	9.76116	124.28882															
X	352	C5	CDS5097	Cyrtodactylus	annulatus	Philippines	Mindanao	South Cotabato	Tampakan	"Tablu, Sitio Datal Mangisi, Mining site of Sagitarrius Mines Inc."																	
X	354	I1	CDS5512	Cyrtodactylus	annulatus	Philippines	Mindanao	South Cotabato	Tampakan	Kimlawis																	
S	276	E7	RMB 10003	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	276	E8	RMB 10004	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	276	E9	RMB 10005	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	276	F1	RMB 10006	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	277	A9	RMB 10050	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	277	B1	RMB 10051	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	277	E7	RMB 10084	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	278	F6	RMB 10173	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	279	E6	RMB 10245	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	279	E7	RMB 10246	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	279	G3	RMB 10259	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	279	G4	RMB 10260	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	279	H1	RMB 10266	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	279	H2	RMB 10267	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	280	B6	RMB 10298	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	280	B7	RMB 10299	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	280	B8	RMB 10300	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	280	B9	RMB 10301	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	280	C1	RMB 10302	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	280	C2	RMB 10303	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	282	E6	RMB 10492	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	282	E7	RMB 10493	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	282	E8	RMB 10494	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
S	282	E9	RMB 10495	Cyrtodactylus	annulatus	Philippines	Mindanao	Zamboanga	Pasonanca	"Pasonanca Natural Park, Barangay Baluno"																	
B	20	B8	RMB 3092	Cyrtodactylus	annulatus	Philippines	Palawan		Brooke's Point																		
B	20	B2	RMB 3093	Cyrtodactylus	annulatus	Philippines	Palawan		Brooke's Point																		
B	20	A7	RMB 3094	Cyrtodactylus	annulatus	Philippines	Palawan		Brooke's Point																		
B	20	B3	RMB 3095	Cyrtodactylus	annulatus	Philippines	Palawan		Brooke's Point																		
F	87	2	RMB 3974	Cyrtodactylus	annulatus	Philippines	Luzon		Bulusan																		
A	7	E1	RMB 4455	Cyrtodactylus	annulatus	Philippines	Luzon		Subic Bay																		
A	7	A1	RMB 4456	Cyrtodactylus	annulatus	Philippines	Luzon		Subic Bay																		
H	106	G4	RMB 5593	Cyrtodactylus	annulatus	Philippines	Polillo																				
H	106	G7	RMB 5596	Cyrtodactylus	annulatus	Philippines	Polillo																				
