Dewar	Tower	Box	Cell	Field Number	Genus	Species	Country	Island	Province	Municipality	Barangay	Local Area Name	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12															
	A	1	A1	RMB 4152	Gehyra	mutilata	Philippines	Luzon		Tanay																													
	A	1	A2	ACD 1418	Lycodon	aulincus	Philippines	Luzon		"Binan, Laguna"																													
	A	1	A3	RMB 4225	Polypedates	leucomystax	Philippines	Luzon		Guttaran																													
	A	1	A4	RMB 4231	Platymantis	"""sp Palaui"" = cagayanensis "	Philippines	Luzon		Palaui Isl																													
	A	1	A5	RMB 4207	Polypedates	leucomystax	Philippines	Luzon		Callao Caves																													
	A	1	A6	RMB 4232	Platymantis	"""sp Palaui"" = cagayanensis "	Philippines	Luzon		Palaui Isl																													
	A	1	A7	ACD 1435	Platymantis	"""seeyok"""	Philippines	Luzon		Imugan																													
	A	1	A8	RMB 4148	Occidozyga	laevis	Philippines	Luzon		Tanay																													
	A	1	A9	RMB 4177	Occidozyga	laevis	Philippines	Luzon		Subic																													
	A	1	B1	ACD 1439	Hemidactylus?		Philippines	Luzon		Tuguegerao City																													
	A	1	B2	RMB 4188	Occidozyga	laevis	Philippines	Luzon		Dalton Pass																													
	A	1	B3	RMB 4140	?	?	Philippines	Luzon		Tanay																													
	A	1	B4	RMB 4187	Platymantis	"""seeyok"""	Philippines	Luzon		Dalton Pass																													
	A	1	B5	RMB 4189	Occidozyga	laevis	Philippines	Luzon		Dalton Pass																													
	A	1	B6	RMB 4220	Platymantis	cagayanensis	Philippines	Luzon		Guttaran																													
	A	1	B7	RMB 4202	Platymantis	cf polillensis	Philippines	Luzon		Imugan																													
	A	1	B8	RMB 4206	Limnonectes	macrocephalus	Philippines	Luzon		Callao Caves																													
	A	1	B9	RMB 4149	Occidozyga	laevis	Philippines	Luzon		Tanay																													
	A	1	C1	"RMB ""2717"" = 4217?"	Platymantis	cagayanensis	Philippines	Luzon		Guttaran																													
	A	1	C2	RMB 4219	Platymantis	cagayanensis	Philippines	Luzon		Guttaran																													
	A	1	C3	RMB 4196	Platymantis	"""seeyok"""	Philippines	Luzon		Imugan																													
	A	1	C4	RMB 4233	Platymantis	"""sp Palaui"" = cagayanensis "	Philippines	Luzon		Palaui Isl																													
	A	1	C5	RMB 4208	Polypedates	leucomystax	Philippines	Luzon		Callao Caves																													
	A	1	C6	RMB 4180	Rana	cancrivora	Philippines	Negros		Dumaguete																													
	A	1	C7	RMB 4150	Hemidactylus	brooki	Philippines	Luzon		Tanay																													
	A	1	C8	ACD 1432	Platymantis	"""seeyok"""	Philippines	Luzon		Imugan																													
	A	1	C9	RMB 4194	Limnonectes	macrocephalus	Philippines	Luzon		Imugan																													
	A	1	D1	RMB 4154	Hemidactylus	frenatus	Philippines	Luzon		Tanay																													
	A	1	D2	RMB 4169	Platymantis	mimulus	Philippines	Luzon		Tanay																													
	A	1	D3	RMBH 4198	Platymantis	sp	Philippines	Luzon		Imugan																													
	A	1	D4	RMB 4175	Parias	flavomaculatus	Philippines	Luzon		Subic			 																										
	A	1	D5	ACD 1433	Limnonectes	macrocephalus	Philippines	Luzon		Imugan																													
	A	1	D6	RMB 4176	Occidozyga	laevis	Philippines	Luzon		Subic																													
	A	1	D7	RMB 4192	Rana	luzonensis	Philippines	Luzon		Imugan																													
	A	1	D8	RMB 4204	Bronchocela	cristatella	Philippines	Luzon		Callao Caves																													
	A	1	D9	ACD 1434	Rana	luzonensis	Philippines	Luzon		Imugan																													
	A	1	E1	RMB 4174	Lamprolepis	smaragdina	Philippines	Luzon		Subic																													
	A	1	E2	RMB 4142	Rana	erythraea	Philippines	Luzon		Tanay																													
	A	1	E3	RMB 4211	Cosymbotus	platyurus	Philippines	Luzon		Callao Caves																													
	A	1	E4	RMB 4161	Hemidactylus	brooki	Philippines	Luzon		Tanay																													
	A	1	E5	RMB 4210	Gekko	gecko	Philippines	Luzon		Callao Caves																													
	A	1	E6	RMB 4143	Limnonectes	macrocephalus	Philippines	Luzon		Tanay																													
	A	1	E7	RMB 4146	Polypedates	leucomystax	Philippines	Luzon		Tanay																													
	A	1	E8	RMB 4212	Gehyra	mutilata	Philippines	Luzon		Callao Caves																													
	A	1	E9	RMB 4145	Polypedates	leucomystax	Philippines	Luzon		Tanay																													
	A	1	F1	RMB 4158	Bronchocela	cristatella	Philippines	Luzon		Tanay																													
	A	1	F2	RMB 4182	Limnonectes	cf leytensis	Philippines	Negros		Dumaguete																													
	A	1	F3	RMB 4159	Bronchocela	cristatella	Philippines	Luzon		Tanay																													
	A	1	F4	RMB 4157	Limnonectes	macrocephalus	Philippines	Luzon		Tanay																													
	A	1	F5	RMB 4179	Rana	cancrivora	Philippines	Negros		Dumaguete																													
	A	1	F6	RMB 4173	Bronchocela	cristatella	Philippines	Luzon		Subic																													
	A	1	F7	RMB 4153	Gehyra	mutilata	Philippines	Luzon		Tanay																													
	A	1	F8	RMB 4168	Platymantis	mimulus	Philippines	Luzon		Tanay																													
	A	1	F9	RMB 4160	Hemidactylus	brooki	Philippines	Luzon		Tanay																													
	A	1	G1	RMB 4221	Limnonectes	macrocephalus	Philippines	Luzon		Guttaran																													
	A	1	G2	RMB 4269	Limnonectes	woodworthi	Philippines	Luzon		Pagudpud																													
	A	1	G3	RMB 4270	Limnonectes	macrocephalus	Philippines	Luzon		Pagudpud																													
	A	1	G4	RMB 4285	Limnonectes	woodworthi	Philippines	Luzon		PalayPalay																													
	A	1	G5	RMB 4244	Limnonectes	macrocephalus	Philippines	Luzon		Mahagnao Falls																													
	A	1	G6	ACD 1115	Limnonectes	macrocephalus	Philippines	Luzon		Angat Dam																													
	A	1	G7	ACD 1354	Limnonectes	woodworthi	Philippines	Luzon		PalayPalay																													
	A	1	G8	RMB 4222	Limnonectes	macrocephalus	Philippines	Luzon		Guttaran																													
	A	1	G9	RMB 4141	Limnonectes	macrocephalus	Philippines	Luzon		Tanay																													
	A	1	H1	RMB 4246	Limnonectes	macrocephalus	Philippines	Luzon		Claveria																													
	A	1	H2	RMB 4139	Limnonectes	macrocephalus	Philippines	Luzon		Tanay																													
	A	1	H3	ACD 1528	Limnonectes	macrocephalus	Philippines	Luzon		Mahagnao Falls																													
	A	1	H4	RMB 4206	Limnonectes	macrocephalus	Philippines	Luzon		Callao Caves																													
	A	1	H5	RMB 4193	Limnonectes	macrocephalus	Philippines	Luzon		Imugan																													
	A	1	H6	RMB 4238	Limnonectes	woodworthi	Philippines	Luzon		Palaui Isl																													
	A	1	H7	RMB 4247	Rana	luzonensis	Philippines	Luzon		Claveria																													
	A	1	H8	RMB 4522	Python 	reticulatus	Philippines	Luzon		Subic																													
	A	1	H9	RMB 4522	Python 	reticulatus	Philippines	Luzon		Subic																													
	A	1	I1	RMB 4523	Python 	reticulatus	Philippines	Luzon		Subic																													
	A	1	I2	RMB 4192	Rana	luzonensis	Philippines	Luzon		Imugan																													
	A	1	I3	RMB 4280	Rana	luzonensis	Philippines	Luzon		Mt. Data																													
	A	1	I4	RMB 4522	Python 	reticulatus	Philippines	Luzon		Subic																													
	A	1	I5	JAM 1712	Gekko	smithi						Gomisak																											
	A	1	I6	ACD 2914	Platymantis	dibanti	papua new guinea																																
	A	1	I7	JF 0037	Sphenomorphus	sp																																	
	A	1	I8	RMB 3405	Sphenomorphus	decipiens						Mt. Isarog																											
	A	1	I9	RMB 3438	Sphenomorphus	j. jagori						Mt. Isarog																											
	A	2	A1	RMB 4339	Platymantis	cf corrugatus	Philippines	Leyte 		Baybay																													
	A	2	A2	RMB 4347	Lycodon	aulincus capucinus	Philippines	Leyte 		Baybay																													
	A	2	A3	RMB 4325	Limnonectes	magnus	Philippines	Leyte 		Lake Danao																													
	A	2	A4	RMB 4388	Limnonectes	magnus	Philippines	Samar		Burauen																													
	A	2	A5	RMB 4351	Occidozyga	laevis	Philippines	Leyte 		Baybay																													
	A	2	A6	RMB 4319	Nictixalus	spinosus	Philippines	Leyte 		Lake Danao																													
	A	2	A7	RMB 4352	Occidozyga	laevis	Philippines	Leyte 		Baybay																													
	A	2	A8	ACD 1483	Platymantis	cf guntheri	Philippines	Leyte 		Lake Danao																													
	A	2	A9	RMB 4375	Limnonectes	magnus	Philippines	Samar		San Raphael																													
	A	2	B1	RMB 4314	Rana	grandocula	Philippines	Leyte 		Lake Danao																													
	A	2	B2	ACD 1478	Cyrtodactylus	sp	Philippines	Leyte 		Lake Danao																													
	A	2	B3	RMB 4353	Cyrtodactylus	agusanensis	Philippines	Leyte 		Baybay																													
	A	2	B4	RMB 4311	Limnonectes	leytensis	Philippines	Leyte 		Tacloban																													
	A	2	B5	RMB 4300	Rana	erythraea	Philippines	Leyte 		Tacloban																													
	A	2	B6	RMB 4335	Platymantis	rabori	Philippines	Leyte 		Lake Danao																													
	A	2	B7	RMB 4333	Limnonectes	leytensis	Philippines	Leyte 		Lake Danao																													
	A	2	B8	RMB 4320	Nictixalus	spinosus	Philippines	Leyte 		Lake Danao																													
	A	2	B9	RMB 4312	Limnonectes	leytensis	Philippines	Leyte 		Tacloban																													
	A	2	C1	ACD 1495	Limnonectes	leytensis	Philippines	Leyte 		Baybay																													
	A	2	C2	RMB 4308	Polypedates	leucomystax	Philippines	Leyte 		Tacloban																													
	A	2	C3	ACD 1507	Platymantis	"""malagos"""	Philippines	Leyte 		Baybay																													
	A	2	C4	RMB 4310	Kalophrynus	pleurostigma	Philippines	Leyte 		Tacloban																													
	A	2	C5	RMB 4305	Rana	cancrivora	Philippines	Leyte 		Tacloban																													
	A	2	C6	RMB 4345	Rhacophorus	pardalis	Philippines	Leyte 		Baybay																													
	A	2	C7	ACD 1500	Gonocephalus	semperi?	Philippines	Leyte 		Baybay																													
	A	2	C8	RMB 4359	Limnonectes	magnus	Philippines	Leyte 		Baybay																													
	A	2	C9	RMB 4357	Gonocephalus	semperi?	Philippines	Leyte 		Baybay																													
	A	2	D1	ACD 1494	Limnonectes	leytensis	Philippines	Leyte 		Baybay																													
	A	2	D2	RMB 4325	Limnonectes	leytensis	Philippines	Leyte 		Lake Danao																													
	A	2	D3	ACD 1504	Dendrelaphis	pictus	Philippines	Leyte 		Baybay																													
	A	2	D4	RMB 4355	Rana	grandocula	Philippines	Leyte 		Baybay																													
	A	2	D5	RMB 4349	Kalophrynus	pleurostigma	Philippines	Leyte 		Baybay																													
	A	2	D6	RMB 4358	Limnonectes	magnus	Philippines	Leyte 		Baybay																													
