Catalog#	Class/FullTaxonName	Order/FullTaxonName	Family/FullTaxonName	Species/FullTaxonName	TypeStatus	Determination	LoanReturnPhysicalObject	Preparation	Field#	Status	Country	IslandGroup	Island	State	County	LocalityName	Elevation	ElevUnit	LatLongType	Latitude1	Longitude1	LatLongUnits	Collectors	Date Collected	Habitat/Natural History/Remarks	Sex	SVL (mm)	Mass (g)	photo? 
212614	Reptilia	Sauria	Gekkonidae	Phyllodactylus clinatus		Phyllodactylus clinatus		ETOH: 1; tissue: 100	WED 57561	tissue	Peru			Piura	Piura	Piura	70	M				DecimalDegrees		01/Mar/1989					<No data>
218361	Reptilia	Sauria	Gekkonidae	Lepidodactylus lugubris		Lepidodactylus lugubris		ETOH: 1; tissue: 100	LAC 1686	tissue	Ecuador			Manabi		Pedernales	0	M				DecimalDegrees	"1, D Kizirian,F Campos,J Wiens,L Colom"	01/Jan/1990					<No data>
218369	Reptilia	Sauria	Gekkonidae	Phyllodactylus reissii		Phyllodactylus reissii		ETOH: 1; tissue: 100	LAC 2569	tissue	Ecuador			Manabi		Puerto Cayo	10	M				DecimalDegrees	"1, S dlTorre,F Campos,J Wiens,L Coloma"	05/Apr/1990					<No data>
289758	Reptilia	Sauria	Gekkonidae	Phyllodactylus tuberculosus		Phyllodactylus tuberculosus		ETOH: 1; tissue: 100	EBG 203	tissue	El Salvador			Ahuachapan		"Parque Nacional El Imposible, La Fincona"	816	M	Point	13.8472223__	-89.9808350__	DecimalDegrees	"1, Greenbaum, Eli; 2, Porras, Jorge; 3, Rivera, Roberto ..."	08/Jul/2000					Yes
290410	Reptilia	Sauria	Gekkonidae	Hemidactylus mabouia		Hemidactylus mabouia		ETOH: 1; tissue: 100	RAX 2017	tissue	Ghana			Eastern Region		"University of Ghana Guest House, Legon, Accra"			Point	-0.1897222__	5.6444445__	DecimalDegrees	"1, Raxworthy, Christopher"	25/May/1998	Tissues in alcohol				<No data>
290439	Reptilia	Sauria	Gekkonidae	Lygodactylus conraui		Lygodactylus conraui		ETOH: 1; tissue: 100	RAX 2080	tissue	Ghana			Eastern Region		"Winneba Junction, Winneba"			Point	5.3866668__	-0.6466666__	DecimalDegrees	"1, Raxworthy, Christopher"	31/May/1998	Tissues in alcohol				<No data>
291260	Reptilia	Sauria	Gekkonidae	Phyllodactylus tuberculosus		Phyllodactylus tuberculosus		tissue: 100; ETOH: 1	JES 2389	tissue	El Salvador			San Miguel		"Volcan San Miguel, Canton El Volcan"	740	M	Point	13.4666662__	-89.2833328__	DegreesMinutesSeconds	"1, Komar, Oliver"	22/May/2001	"On porch of house, 23:00 h. Oliver Komar's Catalogue."	M	58.10	4.30	<No data>
291261	Reptilia	Sauria	Gekkonidae	Phyllodactylus tuberculosus		Phyllodactylus tuberculosus		ETOH: 1; tissue: 100	JES 2390	tissue	El Salvador			San Miguel		"Volcan San Miguel, Canton El Volcan"	740	M	Point	13.4666662__	-89.2833328__	DegreesMinutesSeconds	"1, Bolanos, Roberto"	22/May/2001	On door of bathroom. 23:55 h. Oliver Komar's Catalogue.	F?	68.00	7.60	Yes
300196	Reptilia	Sauria	Gekkonidae	Gekko ernstkelleri	Paratype	Gekko ernstkelleri		tissue: 100; ETOH: 1	CDS 154	tissue	Philippines	Visayan PAIC	Panay Island	Antique Province	Municipality of Pandan	N/A	300	M	Point	11.7609167__	122.0411833__		"1, Siler, Cameron; 2, Ong, Arthur; 3, Averia, Leonardo"	15/Oct/2004					No
300197	Reptilia	Sauria	Gekkonidae	Gekko ernstkelleri	Paratype	Gekko ernstkelleri		ETOH: 1; tissue: 100	CDS 155	tissue	Philippines	Visayan PAIC	Panay Island	Antique Province	Municipality of Pandan	N/A	300	M	Point	11.7609167__	122.0411833__		"1, Siler, Cameron; 2, Ong, Arthur; 3, Averia, Leonardo"	15/Oct/2004					No
