catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island
LSUHC	265	LSUHC	265	Cyrtodactylus	aurensis	Malaysia	Pulau Aur
LSUHC	977	LSUHC	977	Cyrtodactylus	aurensis	Malaysia	Pulau Aur
LSUHC	978	LSUHC	978	Cyrtodactylus	aurensis	Malaysia	Pulau Aur
LSUHC	979	LSUHC	979	Cyrtodactylus	aurensis	Malaysia	Pulau Aur
LSUHC	980	LSUHC	980	Cyrtodactylus	aurensis	Malaysia	Pulau Aur
LSUHC	4457	LSUHC	4457	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar
LSUHC	4458	LSUHC	4458	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar
LSUHC	4459	LSUHC	4459	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar
LSUHC	4869	LSUHC	4869	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar
LSUHC	2287	LSUHC	2287	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2288	LSUHC	2288	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2289	LSUHC	2289	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2290	LSUHC	2290	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2291	LSUHC	2291	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2978	LSUHC	2978	Cyrtodactylus	cf. condorensis	Vietnam	
LSUHC	2979	LSUHC	2979	Cyrtodactylus	cf. condorensis	Vietnam	
LSUHC	2980	LSUHC	2980	Cyrtodactylus	cf. condorensis	Vietnam	
LSUHC	5074	LSUHC	5074	Cyrtodactylus	cf. paradoxus	Vietnam	Nam Du
LSUHC	5075	LSUHC	5075	Cyrtodactylus	cf. paradoxus	Vietnam	Nam Du
LSUHC	5076	LSUHC	5076	Cyrtodactylus	cf. paradoxus	Vietnam	Nam Du
LSUHC	3395	LSUHC	3395	Cyrtodactylus	chuyangsinensis	Vietnam	
LSUHC	3396	LSUHC	3396	Cyrtodactylus	chuyangsinensis	Vietnam	
LSUHC	3397	LSUHC	3397	Cyrtodactylus	chuyangsinensis	Vietnam	
