catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	cam_extract	cam_extract_cell	date	source
KU	314836	RMB	9223	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9922333	122.0604333	S-285-A3	False		2008-07-11	ku_freezer.txt/ku_gekkonid_tissues.txt
		PNM/CMNH H	1352	Cyrtodactylus	annulatus	Philippines	Mindanao		North Cotabato Province; Municipality of Kidapawan; Barangay Ilomavis; Mt Apo; Site 3			J-143-B4	False			ku_freezer.txt
KU	330792	CDS	5583	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.1335600	121.2044700	AA-395-E7	False		2011-05-07	ku_freezer.txt/ku_gekkonid_tissues.txt
LSUHC	5608	LSUHC	5608	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False			LSUHC_geckos.txt
LSUHC	2287	LSUHC	2287	Cyrtodactylus	brevipalmatus	Thailand			Thailand				False			LSUHC_geckos.txt
LSUHC	5609	LSUHC	5609	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False			LSUHC_geckos.txt
KU	309364	RMB	8232	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan			Q-241-E5	False		2007-06-19	ku_freezer.txt/ku_gekkonid_tissues.txt
LSUHC	5975	LSUHC	5975	Cyrtodactylus	pulchellus	West Malaysia			West Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	5976	LSUHC	5976	Cyrtodactylus	pulchellus	West Malaysia			West Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	5977	LSUHC	5977	Cyrtodactylus	pulchellus	West Malaysia			West Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	5606	LSUHC	5606	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False			LSUHC_geckos.txt
LSUHC	2599	LSUHC	2599	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	2598	LSUHC	2598	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	2161	LSUHC	2161	Ptychozoon	kuhli	Malaysia	Pulau Langkawi		Malaysia, Kedah, Pulau Langkawi, Tuju Telaga				False			LSUHC_geckos.txt
KU	303847	RMB	5570	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo			H-106-D8	False		2005-12-14	ku_freezer.txt/ku_gekkonid_tissues.txt
LSUHC	2927	LSUHC	2927	Gekko	sp.	Vietnam			Vietnam, Ninh Thaun, Can Na				False			LSUHC_geckos.txt
LSUHC	2593	LSUHC	2593	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	2592	LSUHC	2592	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	2591	LSUHC	2591	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	2590	LSUHC	2590	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	2597	LSUHC	2597	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	2596	LSUHC	2596	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	2595	LSUHC	2595	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
LSUHC	2594	LSUHC	2594	Cyrtodactylus	elok	Malaysia			Malaysia, Pahang, Cameron Highlands				False			LSUHC_geckos.txt
KU	310798	CDS	2844	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao	Eastern Samar Province; Municipality of Taft; Barangay San Rafael	11.8025500	125.2927600	Q-251-A1	True	A3	2007-10-17	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
LSUHC	5605	LSUHC	5605	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False			LSUHC_geckos.txt
KU	302640	CDS	1511	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7608100	122.0397400	G-99-B9	True	H9	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	305431	ELR	682	Cyrtodactylus	philippinicus	Philippines	Mindoro	Mindoro	Occidental Mindoro Province; Municipality of Sablayan; Barangay Batong Buhay			K-153-F2	False		2006-09-18	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	311498	KU-FS	18	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-F9	False		2005-04-11	ku_gekkonid_tissues.txt
KU	311497	KU-FS	17	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-G3	False		2005-04-11	ku_gekkonid_tissues.txt
KU	311496	KU-FS	16	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-F8	False		2005-04-11	ku_gekkonid_tissues.txt
KU	311495	KU-FS	15	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-G2	False		2005-04-11	ku_gekkonid_tissues.txt
KU	311494	KU-FS	14	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-G1	False		2005-04-11	ku_gekkonid_tissues.txt
KU	311493	KU-FS	13	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-D8/F7	False		2005-04-11	ku_gekkonid_tissues.txt
LSUHC	6182	LSUHC	6182	Ptychozoon	kuhli	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False			LSUHC_geckos.txt
LSUHC	5603	LSUHC	5603	Cyrtodactylus	tiomanensis	West Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman				False			LSUHC_geckos.txt
KU	302719	CDS	55	Gekko	gigante	Philippines	South Gigante	Visayan	Iloilo Province; Muncipality of Carles; Sitio Antonia, Barangay Gabi			E-74-39	False		2000-09-06	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	330797	CDS	5822	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Laguna Province; Municipality of Los Banos; Barangay Bagong Silang, Mt. Makiling Forest Reserve, Camp Malaboo	14.1335600	121.2044700	AA-398-E3	False		2011-05-11	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302716	CDS	51	Gekko	gigante	Philippines	North Gigante	Visayan	Iloilo Province; Muncipality of Carles; Barangay Asluman			E-74-35	True	F4	2000-09-07	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
KU	305140	CDS	50	Gekko	gigante	Philippines	North Gigante	Visayan	Iloilo Province; Muncipality of Carles; Barangay Asluman			E-74-34	False		2004-09-08	ku_freezer.txt/ku_gekkonid_tissues.txt
		PNM/CMNH H	1459	Cyrtodactylus	annulatus	Philippines	Mindanao		South Cotabato Province; Municipality of Kiamba; Barangay Binati; Mt Busa; Site 1			J-141-F9	False			ku_freezer.txt
KU	309283	RMB	7615	Gekko	monarchus	Philippines	Palawan	Palawan	Palawan Province; Municipality of Puerto Princessa; Barangay Irawan: Irawan Watershed	9.8357333	118.6524667	M-189-E3	False		2007-03-20	ku_gekkonid_tissues.txt
LSUHC	2921	LSUHC	2921	Gekko	sp.	Vietnam			Vietnam, Ninh Thaun, Can Na				False			LSUHC_geckos.txt
LSUHC	1518	LSUHC	1518	Cyrtodactylus	seribuatensis	Malaysia	Pulau Mentigi		Malaysia, Johor, Pulau Mentigi				False			LSUHC_geckos.txt
KU	314793	RMB	9086	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9770667	122.0673833	S-283-D3	False		2008-07-07	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	314794	RMB	9087	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9770667	122.0673833	S-283-D4	False		2008-07-07	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	314832	RMB	9084	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9770667	122.0673833	S-283-D1	False		2008-07-07	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	314792	RMB	9085	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9770667	122.0673833	S-283-D2	False		2008-07-07	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	302743	CDS	143	Gekko	ernstkelleri	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7609167	122.0411833	D-60-57	False		2000-10-14	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	320344	CDS	3749	Cyrtodactylus	philippinicus	Philippines	Lubang	Lubang	Occidental Mindoro Province; Municipality of Lubang; Barangay Vigo, Sitio Dangay	13.7999500	120.1639300	U-311-B8	False			ku_freezer.txt/ku_gekkonid_tissues.txt
LSUHC	2162	LSUHC	2162	Ptychozoon	kuhli	Malaysia	Pulau Langkawi		Malaysia, Kedah, Pulau Langkawi, Tuju Telaga				False			LSUHC_geckos.txt
LSUHC	2163	LSUHC	2163	Ptychozoon	kuhli	Malaysia	Pulau Langkawi		Malaysia, Kedah, Pulau Langkawi, Tuju Telaga				False			LSUHC_geckos.txt
LSUHC	2160	LSUHC	2160	Ptychozoon	kuhli	Malaysia	Pulau Langkawi		Malaysia, Kedah, Pulau Langkawi, Tuju Telaga				False			LSUHC_geckos.txt
KU	329534	RMB	14453	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 3, Mt. Pao	-18.4490000	120.8940000	AB-407-A9	False		2011-06-27	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	323194	RMB	12845	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-D7	False		2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	314799	RMB	9120	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9770667	122.0673833	S-283-H1	False		2008-07-08	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	314795	RMB	9088	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9770667	122.0673833	S-283-D5	False		2008-07-07	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	314796	RMB	9089	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9770667	122.0673833	S-283-D6	False		2008-07-07	ku_freezer.txt/ku_gekkonid_tissues.txt
		RMB	3282	Pseudogekko	brevipes	Philippines	Negros					F-89-64	False			ku_freezer.txt
KU	328822	RMB	13659	Gekko	mindorensis	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-H5	False		2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	304845	RMB	5966	Gekko	crombota	Philippines	Babuyan Claro	Babuyan Island Group	Cagayan Province; Municipality of Calayan; Barangay Babuyan Claro			H-111-G9	False		2006-03-14	ku_freezer.txt/ku_gekkonid_tissues.txt
KU	314007	RMB	9532	Lepidodactylus	balioburius	Philippines	Batan	Batanes	Batanes Province; Municipality of Basco; Barangay San Antonio, Sitio Chadpidan	20.4700000	-121.9910000	T-287-C6	False		2008-05-31	ku_gekkonid_tissues.txt
