box	cell	catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island	paic	locality	lat	long	tissue	cam_extract	date	source
285	A3	KU	314836	RMB	9223	Cyrtodactylus	jambangan	Philippines	Mindanao	Mindanao	Zamboanga City "Province"; Municipality of Pasonanca; Pasonanca Natural Park, Tumaga River	6.9922333	122.0604333	S-285-A3	False	2008-07-11	ku_freezer.txt/ku_gekkonid_tissues.txt
143	B4			PNM/CMNH H	1352	Cyrtodactylus	annulatus	Philippines	Mindanao		North Cotabato Province; Municipality of Kidapawan; Barangay Ilomavis; Mt Apo; Site 3			J-143-B4	False		ku_freezer.txt
241	E5	KU	309364	RMB	8232	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao	Camiguin Province; Municipality of Mambajao; Barangay Pandan, Sito Pamahawan			Q-241-E5	False	2007-06-19	ku_freezer.txt/ku_gekkonid_tissues.txt
358	F4	KU	324378	CDS	4384	Cyrtodactylus	philippinicus	Philippines	Negros	Visayan	Negros Occidental Province; ; Barangay Patag; city of Silay; Mt. Bungol	10.6759900	123.1877700	X-358-F4	False	2009-07-23	ku_freezer.txt/ku_gekkonid_tissues.txt
251	A1	KU	310798	CDS	2844	Cyrtodactylus	sumuroi	Philippines	Samar	Mindanao	Eastern Samar Province; Municipality of Taft; Barangay San Rafael	11.8025500	125.2927600	Q-251-A1	True	2007-10-17	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
99	B9	KU	302640	CDS	1511	Cyrtodactylus	philippinicus	Philippines	Panay	Visayan	Antique Province; Municipality of Pandan; Barangay Duyong	11.7608100	122.0397400	G-99-B9	True	2001-11-24	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
165	F9	KU	311498	KU-FS	18	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-F9	False	2005-04-11	ku_gekkonid_tissues.txt
165	G3	KU	311497	KU-FS	17	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-G3	False	2005-04-11	ku_gekkonid_tissues.txt
165	F8	KU	311496	KU-FS	16	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-F8	False	2005-04-11	ku_gekkonid_tissues.txt
165	G2	KU	311495	KU-FS	15	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-G2	False	2005-04-11	ku_gekkonid_tissues.txt
165	G1	KU	311494	KU-FS	14	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-G1	False	2005-04-11	ku_gekkonid_tissues.txt
165	D8/F7	KU	311493	KU-FS	13	Gekko	chinensis	China			Guangxi; ; Nanning City, People's Park			K-165-D8/F7	False	2005-04-11	ku_gekkonid_tissues.txt
74	39	KU	302719	CDS	55	Gekko	gigante	Philippines	South Gigante	Visayan	Iloilo Province; Muncipality of Carles; Sitio Antonia, Barangay Gabi			E-74-39	False	2000-09-06	ku_freezer.txt/ku_gekkonid_tissues.txt
54	LOOSE			NOSERIES	6433	Ptychozoon	kuhli	Malaysia	Pulau Tioman		West Malaysia, Pahang, Pulau Tioman, Tekek-Juara Trail			D-54-LOOSE	False		ku_freezer.txt
74	35	KU	302716	CDS	51	Gekko	gigante	Philippines	North Gigante	Visayan	Iloilo Province; Muncipality of Carles; Barangay Asluman			E-74-35	True	2000-09-07	ku_freezer.txt/ku_gekkonid_tissues.txt/gekkonid_lab_work.txt
74	34	KU	305140	CDS	50	Gekko	gigante	Philippines	North Gigante	Visayan	Iloilo Province; Muncipality of Carles; Barangay Asluman			E-74-34	False	2004-09-08	ku_freezer.txt/ku_gekkonid_tissues.txt
74	37	KU	302717	CDS	53	Gekko	gigante	Philippines	North Gigante	Visayan	Iloilo Province; Muncipality of Carles; Barangay Asluman			E-74-37	False	2000-09-07	ku_freezer.txt/ku_gekkonid_tissues.txt
407	A9	KU	329534	RMB	14453	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Ilocos Norte Province; Municipality of Adams; Barangay Adams, Site 3, Mt. Pao	-18.4490000	120.8940000	AB-407-A9	False	2011-06-27	ku_freezer.txt/ku_gekkonid_tissues.txt
343	D7	KU	323194	RMB	12845	Cyrtodactylus	philippinicus	Philippines	Luzon	Luzon	Aurora Province; Municipality of San Luis; Barangay Real, Sitio Minoli, limestone forest	15.6800000	121.5290000	W-343-D7	False	2009-06-13	ku_freezer.txt/ku_gekkonid_tissues.txt
380	H5	KU	328822	RMB	13659	Gekko	mindorensis	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-H5	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
380	H4	KU	328821	RMB	13658	Gekko	mindorensis	Philippines	Luzon	Luzon	Quezon Province; Municipality of Atimonan; Exact locality unknown (coordinates at center of municipality)	13.9958300	121.9050000	Z-380-H4	False	2011-01-02	ku_freezer.txt/ku_gekkonid_tissues.txt
287	C6	KU	314007	RMB	9532	Lepidodactylus	balioburius	Philippines	Batan	Batanes	Batanes Province; Municipality of Basco; Barangay San Antonio, Sitio Chadpidan	20.4700000	-121.9910000	T-287-C6	False	2008-05-31	ku_gekkonid_tissues.txt
