catalog_series	catalog_number	field_series	field_number	genus	epithet	country	island
KU	324366	CDS	4485	Cyrtodactylus	annulatus	Philippines	Bohol
KU	324367	CDS	4583	Cyrtodactylus	annulatus	Philippines	Bohol
KU	324369	CDS	4658	Cyrtodactylus	annulatus	Philippines	Bohol
KU	324370	CDS	4659	Cyrtodactylus	annulatus	Philippines	Bohol
KU	324371	CDS	4660	Cyrtodactylus	annulatus	Philippines	Bohol
KU	324372	CDS	4661	Cyrtodactylus	annulatus	Philippines	Bohol
KU	324373	CDS	4763	Cyrtodactylus	annulatus	Philippines	Bohol
KU	309365	RMB	8043	Cyrtodactylus	annulatus	Philippines	Camiguin Sur
KU	309363	RMB	8201	Cyrtodactylus	annulatus	Philippines	Camiguin Sur
KU	309366	RMB	8220	Cyrtodactylus	annulatus	Philippines	Camiguin Sur
KU	309364	RMB	8232	Cyrtodactylus	annulatus	Philippines	Camiguin Sur
KU	305567	CDS	1768	Cyrtodactylus	annulatus	Philippines	Cebu
KU	305568	CWL	88	Cyrtodactylus	annulatus	Philippines	Cebu
KU	305569	CWL	89	Cyrtodactylus	annulatus	Philippines	Cebu
KU	305570	CWL	90	Cyrtodactylus	annulatus	Philippines	Cebu
		PNM/CMNH H	1289	Cyrtodactylus	annulatus	Philippines	Mindanao
		PNM/CMNH H	1290	Cyrtodactylus	annulatus	Philippines	Mindanao
		PNM/CMNH H	1291	Cyrtodactylus	annulatus	Philippines	Mindanao
		PNM/CMNH H	1292	Cyrtodactylus	annulatus	Philippines	Mindanao
		PNM/CMNH H	1293	Cyrtodactylus	annulatus	Philippines	Mindanao
		PNM/CMNH H	1298	Cyrtodactylus	annulatus	Philippines	Mindanao
		PNM/CMNH H	1352	Cyrtodactylus	annulatus	Philippines	Mindanao
		PNM/CMNH H	1459	Cyrtodactylus	annulatus	Philippines	Mindanao
		PNM/CMNH H	1601	Cyrtodactylus	annulatus	Philippines	Mindanao
		PNM/CMNH H	1646	Cyrtodactylus	annulatus	Philippines	Mindanao
KU	319651	RMB	11229	Cyrtodactylus	annulatus	Philippines	Mindanao
KU	319653	RMB	11302	Cyrtodactylus	annulatus	Philippines	Mindanao
KU	319659	RMB	11309	Cyrtodactylus	annulatus	Philippines	Mindanao
KU	319845	RMB	11714	Cyrtodactylus	annulatus	Philippines	Mindanao
		RMB	7716	Cyrtodactylus	annulatus	Philippines	Palawan
		RMB	7718	Cyrtodactylus	annulatus	Philippines	Palawan
		RMB	7719	Cyrtodactylus	annulatus	Philippines	Palawan
		RMB	7720	Cyrtodactylus	annulatus	Philippines	Palawan
		RMB	7722	Cyrtodactylus	annulatus	Philippines	Palawan
		RMB	7724	Cyrtodactylus	annulatus	Philippines	Palawan
		RMB	7725	Cyrtodactylus	annulatus	Philippines	Palawan
		NOID	1	Cyrtodactylus	baluensis	Malaysia	Borneo
		NOID	2	Cyrtodactylus	baluensis	Malaysia	Borneo
		NOID		Cyrtodactylus	baluensis	Malaysia	Borneo
		SP	6891	Cyrtodactylus	baluensis	Malaysia	Kinabalu
		SP	6892	Cyrtodactylus	baluensis	Malaysia	Kinabalu
		SP	6906	Cyrtodactylus	baluensis	Malaysia	Kinabalu
KU	326520	RMB	8931	Cyrtodactylus	gubaot	Philippines	Leyte
KU	326521	RMB	8932	Cyrtodactylus	gubaot	Philippines	Leyte
KU	326522	RMB	8933	Cyrtodactylus	gubaot	Philippines	Leyte
KU	326523	RMB	8934	Cyrtodactylus	gubaot	Philippines	Leyte
KU	326524	RMB	8935	Cyrtodactylus	gubaot	Philippines	Leyte
KU	326525	RMB	8936	Cyrtodactylus	gubaot	Philippines	Leyte
KU	326526	RMB	8937	Cyrtodactylus	gubaot	Philippines	Leyte
KU	319657	RMB	11591	Cyrtodactylus	jambangan	Philippines	Mindanao
KU	319844	RMB	11670	Cyrtodactylus	jambangan	Philippines	Mindanao
KU	314807	RMB	9207	Cyrtodactylus	jambangan	Philippines	Mindanao
KU	314836	RMB	9223	Cyrtodactylus	jambangan	Philippines	Mindanao
KU	319660	RMB	11745	Cyrtodactylus	jambangan	Philippines	Mindanao
KU	319661	RMB	11746	Cyrtodactylus	jambangan	Philippines	Mindanao
KU	319662	RMB	11747	Cyrtodactylus	jambangan	Philippines	Mindanao
KU	319658	RMB	11712	Cyrtodactylus	jambangan	Philippines	Mindanao
KU	310112	RMB	8416	Cyrtodactylus	mamanwa	Philippines	Dinagat
KU	310098	RMB	8417	Cyrtodactylus	mamanwa	Philippines	Dinagat
KU	310099	RMB	8418	Cyrtodactylus	mamanwa	Philippines	Dinagat
KU	310100	RMB	8427	Cyrtodactylus	mamanwa	Philippines	Dinagat
KU	310101	RMB	8436	Cyrtodactylus	mamanwa	Philippines	Dinagat
KU	310102	RMB	8444	Cyrtodactylus	mamanwa	Philippines	Dinagat
KU	310103	RMB	8445	Cyrtodactylus	mamanwa	Philippines	Dinagat
KU	304784	RMB	5905	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro
KU	304785	RMB	5906	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro
KU	304786	RMB	5907	Cyrtodactylus	philippinicus	Philippines	Babuyan Claro
KU	304634	RMB	5754	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte
KU	304635	RMB	5755	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte
KU	304636	RMB	5756	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte
KU	304637	RMB	5757	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte
KU	304671	RMB	5791	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte
KU	304672	RMB	5792	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte
KU	304690	RMB	5811	Cyrtodactylus	philippinicus	Philippines	Camiguin Norte
KU	320346	CDS	3751	Cyrtodactylus	philippinicus	Philippines	Lubang
KU	320347	CDS	3752	Cyrtodactylus	philippinicus	Philippines	Lubang
KU	320348	CDS	3781	Cyrtodactylus	philippinicus	Philippines	Lubang
KU	320349	CDS	3793	Cyrtodactylus	philippinicus	Philippines	Lubang
