field_series	field_number	genus	epithet	country	island	paic
CDS	4763	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
CDS	4660	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
CDS	4661	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
CDS	4659	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
CDS	4658	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
CDS	4583	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
CDS	4484	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
CDS	4485	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
CDS	4482	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
CDS	4483	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
CDS	4622	Cyrtodactylus	annulatus	Philippines	Bohol	Mindanao
RMB	8232	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao
RMB	8220	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao
RMB	8201	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao
RMB	8043	Cyrtodactylus	annulatus	Philippines	Camiguin Sur	Mindanao
CWL	88	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan
CWL	89	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan
CDS	1768	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan
CWL	90	Cyrtodactylus	annulatus	Philippines	Cebu	Visayan
RMB	7644	Cyrtodactylus	annulatus	Philippines	Palawan	
RMB	7716	Cyrtodactylus	annulatus	Philippines	Palawan	
RMB	7718	Cyrtodactylus	annulatus	Philippines	Palawan	
RMB	7719	Cyrtodactylus	annulatus	Philippines	Palawan	
RMB	7720	Cyrtodactylus	annulatus	Philippines	Palawan	
RMB	7722	Cyrtodactylus	annulatus	Philippines	Palawan	
RMB	7725	Cyrtodactylus	annulatus	Philippines	Palawan	
RMB	7724	Cyrtodactylus	annulatus	Philippines	Palawan	
LSUHC	264	Cyrtodactylus	aurensis	Malaysia	Pulau Aur	
LSUHC	265	Cyrtodactylus	aurensis	Malaysia	Pulau Aur	
LSUHC	262	Cyrtodactylus	aurensis	Malaysia	Pulau Aur	
LSUHC	263	Cyrtodactylus	aurensis	Malaysia	Pulau Aur	
LSUHC	248	Cyrtodactylus	aurensis	Malaysia	Pulau Aur	
LSUHC	247	Cyrtodactylus	aurensis	Malaysia	Pulau Aur	
LSUHC	977	Cyrtodactylus	aurensis	Malaysia	Pulau Aur	
LSUHC	978	Cyrtodactylus	aurensis	Malaysia	Pulau Aur	
LSUHC	980	Cyrtodactylus	aurensis	Malaysia	Pulau Aur	
LSUHC	979	Cyrtodactylus	aurensis	Malaysia	Pulau Aur	
NOID	1	Cyrtodactylus	baluensis	Malaysia	Borneo	
NOID	2	Cyrtodactylus	baluensis	Malaysia	Borneo	
NOID		Cyrtodactylus	baluensis	Malaysia	Borneo	
SP	6891	Cyrtodactylus	baluensis	Malaysia	Kinabalu	
SP	6892	Cyrtodactylus	baluensis	Malaysia	Kinabalu	
SP	6906	Cyrtodactylus	baluensis	Malaysia	Kinabalu	
LSUHC	4869	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar	
LSUHC	4458	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar	
LSUHC	4459	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar	
LSUHC	4457	Cyrtodactylus	batucolus	West Malaysia	Pulau Besar	
LSUHC	2288	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2286	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2290	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2291	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2289	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2283	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2287	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2285	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2284	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2487	Cyrtodactylus	brevipalmatus	Thailand	
LSUHC	2978	Cyrtodactylus	cf. condorensis	Vietnam		
